INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
30	28	1505	16205	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	7282	30336	1214	7584	6796	22752	6796	22752	1821	11376	1821	11376	6796	22752	7282	30336	6772	72922	6772	72922	6772	72922	6772	72922	6772	72922	6772	72922	6772	72922	6772	72922	6772	72922	6772	72922
31	29	1714	26770	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	8476	34848	1413	8712	7911	26136	7911	26136	2119	13068	2119	13068	7911	26136	8476	34848	7713	120465	7713	120465	7713	120465	7713	120465	7713	120465	7713	120465	7713	120465	7713	120465	7713	120465	7713	120465
32	30	1714	29702	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	9076	41208	9076	41208	9076	41208	9076	41208	9076	41208	9076	41208	9076	41208	9076	41208	9076	41208	1513	10302	8471	30906	8471	30906	2269	15453	2269	15453	8471	30906	9076	41208	7713	133659	7713	133659	7713	133659	7713	133659	7713	133659	7713	133659	7713	133659	7713	133659	7713	133659	7713	133659
33	31	1752	32844	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	10110	48090	10110	48090	10110	48090	10110	48090	10110	48090	10110	48090	10110	48090	10110	48090	10110	48090	1685	12023	9436	36068	9436	36068	2527	18034	2527	18034	9436	36068	10110	48090	7884	147798	7884	147798	7884	147798	7884	147798	7884	147798	7884	147798	7884	147798	7884	147798	7884	147798	7884	147798
34	32	1968	36202	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	11227	55512	11227	55512	11227	55512	11227	55512	11227	55512	11227	55512	11227	55512	11227	55512	11227	55512	1871	13878	10478	41634	10478	41634	2807	20817	2807	20817	10478	41634	11227	55512	8856	162909	8856	162909	8856	162909	8856	162909	8856	162909	8856	162909	8856	162909	8856	162909	8856	162909	8856	162909
35	33	2200	39782	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	12436	63492	12436	63492	12436	63492	12436	63492	12436	63492	12436	63492	12436	63492	12436	63492	12436	63492	2073	15873	11607	47619	11607	47619	3109	23810	3109	23810	11607	47619	12436	63492	9900	179019	9900	179019	9900	179019	9900	179019	9900	179019	9900	179019	9900	179019	9900	179019	9900	179019	9900	179019
36	34	2450	43594	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	13740	72048	13740	72048	13740	72048	13740	72048	13740	72048	13740	72048	13740	72048	13740	72048	13740	72048	2290	18012	12824	54036	12824	54036	3435	27018	3435	27018	12824	54036	13740	72048	11025	196173	11025	196173	11025	196173	11025	196173	11025	196173	11025	196173	11025	196173	11025	196173	11025	196173	11025	196173
37	35	2718	47642	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	15145	81198	15145	81198	15145	81198	15145	81198	15145	81198	15145	81198	15145	81198	15145	81198	15145	81198	2524	20300	14135	60899	14135	60899	3786	30449	3786	30449	14135	60899	15145	81198	12231	214389	12231	214389	12231	214389	12231	214389	12231	214389	12231	214389	12231	214389	12231	214389	12231	214389	12231	214389
38	36	3006	51936	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	16653	90960	16653	90960	16653	90960	16653	90960	16653	90960	16653	90960	16653	90960	16653	90960	16653	90960	2776	22740	15543	68220	15543	68220	4163	34110	4163	34110	15543	68220	16653	90960	13527	233712	13527	233712	13527	233712	13527	233712	13527	233712	13527	233712	13527	233712	13527	233712	13527	233712	13527	233712
39	37	3313	56482	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	18271	101352	18271	101352	18271	101352	18271	101352	18271	101352	18271	101352	18271	101352	18271	101352	18271	101352	3045	25338	17053	76014	17053	76014	4568	38007	4568	38007	17053	76014	18271	101352	14908	254169	14908	254169	14908	254169	14908	254169	14908	254169	14908	254169	14908	254169	14908	254169	14908	254169	14908	254169
40	38	3640	61286	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	20004	112392	20004	112392	20004	112392	20004	112392	20004	112392	20004	112392	20004	112392	20004	112392	20004	112392	3334	28098	18670	84294	18670	84294	5001	42147	5001	42147	18670	84294	20004	112392	16380	275787	16380	275787	16380	275787	16380	275787	16380	275787	16380	275787	16380	275787	16380	275787	16380	275787	16380	275787
41	39	3990	66358	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	21857	124098	21857	124098	21857	124098	21857	124098	21857	124098	21857	124098	21857	124098	21857	124098	21857	124098	3643	31025	20400	93074	20400	93074	5464	46537	5464	46537	20400	93074	21857	124098	17955	298611	17955	298611	17955	298611	17955	298611	17955	298611	17955	298611	17955	298611	17955	298611	17955	298611	17955	298611
42	40	4360	71755	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	23836	136620	23836	136620	23836	136620	23836	136620	23836	136620	23836	136620	23836	136620	23836	136620	23836	136620	3973	34155	22247	102465	22247	102465	5959	51233	5959	51233	22247	102465	23836	136620	19620	322897	19620	322897	19620	322897	19620	322897	19620	322897	19620	322897	19620	322897	19620	322897	19620	322897	19620	322897
43	41	5942	77490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	32432	149986	32432	149986	32432	149986	32432	149986	32432	149986	32432	149986	32432	149986	32432	149986	32432	149986	5405	37497	30270	112490	30270	112490	8108	56245	8108	56245	30270	112490	32432	149986	26739	348705	26739	348705	26739	348705	26739	348705	26739	348705	26739	348705	26739	348705	26739	348705	26739	348705	26739	348705
44	42	6462	83573	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	35239	164220	35239	164220	35239	164220	35239	164220	35239	164220	35239	164220	35239	164220	35239	164220	35239	164220	5873	41055	32889	123165	32889	123165	8810	61583	8810	61583	32889	123165	35239	164220	29079	376078	29079	376078	29079	376078	29079	376078	29079	376078	29079	376078	29079	376078	29079	376078	29079	376078	29079	376078
45	43	7012	90014	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	38226	179352	38226	179352	38226	179352	38226	179352	38226	179352	38226	179352	38226	179352	38226	179352	38226	179352	6371	44838	35678	134514	35678	134514	9557	67257	9557	67257	35678	134514	38226	179352	31554	405063	31554	405063	31554	405063	31554	405063	31554	405063	31554	405063	31554	405063	31554	405063	31554	405063	31554	405063
46	44	7592	96826	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	41395	195408	41395	195408	41395	195408	41395	195408	41395	195408	41395	195408	41395	195408	41395	195408	41395	195408	6899	48852	38636	146556	38636	146556	10349	73278	10349	73278	38636	146556	41395	195408	34164	435717	34164	435717	34164	435717	34164	435717	34164	435717	34164	435717	34164	435717	34164	435717	34164	435717	34164	435717
47	45	8210	104018	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	44757	212416	44757	212416	44757	212416	44757	212416	44757	212416	44757	212416	44757	212416	44757	212416	44757	212416	7460	53104	41774	159312	41774	159312	11189	79656	11189	79656	41774	159312	44757	212416	36945	468081	36945	468081	36945	468081	36945	468081	36945	468081	36945	468081	36945	468081	36945	468081	36945	468081	36945	468081
48	46	8866	111600	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	48321	230400	48321	230400	48321	230400	48321	230400	48321	230400	48321	230400	48321	230400	48321	230400	48321	230400	8054	57600	45100	172800	45100	172800	12080	86400	12080	86400	45100	172800	48321	230400	39897	502200	39897	502200	39897	502200	39897	502200	39897	502200	39897	502200	39897	502200	39897	502200	39897	502200	39897	502200
49	47	9562	119585	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	52093	249390	52093	249390	52093	249390	52093	249390	52093	249390	52093	249390	52093	249390	52093	249390	52093	249390	8682	62348	48620	187043	48620	187043	13023	93521	13023	93521	48620	187043	52093	249390	43029	538132	43029	538132	43029	538132	43029	538132	43029	538132	43029	538132	43029	538132	43029	538132	43029	538132	43029	538132
50	48	10299	127982	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	56079	269412	56079	269412	56079	269412	56079	269412	56079	269412	56079	269412	56079	269412	56079	269412	56079	269412	9347	67353	52340	202059	52340	202059	14020	101030	14020	101030	52340	202059	56079	269412	46345	575919	46345	575919	46345	575919	46345	575919	46345	575919	46345	575919	46345	575919	46345	575919	46345	575919	46345	575919
51	49	11078	136804	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	60288	290494	60288	290494	60288	290494	60288	290494	60288	290494	60288	290494	60288	290494	60288	290494	60288	290494	10048	72624	56268	217871	56268	217871	15072	108935	15072	108935	56268	217871	60288	290494	49851	615618	49851	615618	49851	615618	49851	615618	49851	615618	49851	615618	49851	615618	49851	615618	49851	615618	49851	615618
52	50	11901	146059	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	68247	312660	68247	312660	68247	312660	68247	312660	68247	312660	68247	312660	68247	312660	68247	312660	68247	312660	11375	78165	63697	234495	63697	234495	17062	117248	17062	117248	63697	234495	68247	312660	53554	657265	53554	657265	53554	657265	53554	657265	53554	657265	53554	657265	53554	657265	53554	657265	53554	657265	53554	657265
53	51	12768	155760	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	69958	335940	69958	335940	69958	335940	69958	335940	69958	335940	69958	335940	69958	335940	69958	335940	69958	335940	11660	83985	65294	251955	65294	251955	17490	125978	17490	125978	65294	251955	69958	335940	57456	700920	57456	700920	57456	700920	57456	700920	57456	700920	57456	700920	57456	700920	57456	700920	57456	700920	57456	700920
54	52	13682	165917	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	73669	360360	73669	360360	73669	360360	73669	360360	73669	360360	73669	360360	73669	360360	73669	360360	73669	360360	12278	90090	68757	270270	68757	270270	18417	135135	18417	135135	68757	270270	73669	360360	61569	746626	61569	746626	61569	746626	61569	746626	61569	746626	61569	746626	61569	746626	61569	746626	61569	746626	61569	746626
55	53	14643	176541	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	77877	385948	77877	385948	77877	385948	77877	385948	77877	385948	77877	385948	77877	385948	77877	385948	77877	385948	12980	96487	72685	289461	72685	289461	19469	144731	19469	144731	72685	289461	77877	385948	65893	794434	65893	794434	65893	794434	65893	794434	65893	794434	65893	794434	65893	794434	65893	794434	65893	794434	65893	794434
56	54	15652	187642	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	84000	412728	84000	412728	84000	412728	84000	412728	84000	412728	84000	412728	84000	412728	84000	412728	84000	412728	14000	103182	78400	309546	78400	309546	21000	154773	21000	154773	78400	309546	84000	412728	70434	844389	70434	844389	70434	844389	70434	844389	70434	844389	70434	844389	70434	844389	70434	844389	70434	844389	70434	844389
