INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
ID	特效ID1	音效ID1	特效的绑定点1	特效ID2	音效ID2	特效的绑定点2	特效ID3	音效ID3	特效的绑定点3	特效ID4	音效ID4	特效的绑定点4	特效ID5	音效ID5	特效的绑定点5	预留1	预留2	效果说明	预留
137	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点	yanhuo14_02	yanhuo02.wav	前置特效点			新增烟花特效4	1	
138	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点	yanhuo15	yanhuo02.wav	前置特效点			新增烟花特效5	1	
139	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点	yanhuo16	yanhuo02.wav	前置特效点			新增烟花特效6	1	
140	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点	yanhuo_hunqing2	yanhuo02.wav	前置特效点			新增烟花特效7	1	
141	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点	yanhuo_hunqing3	yanhuo02.wav	前置特效点			新增烟花特效8	1	
142	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点	yanhuo_hunqing4	yanhuo02.wav	前置特效点			新增烟花特效9	1	
143	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点	yanhuo_hunqing4_1	yanhuo02.wav	前置特效点			新增烟花特效10	1	
144	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点	g01_wd_zdo_sanweizhenhuo		身体受击点			火烧赤壁特效	1	
145	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点			千里横行	1	
146	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点	g01_gb_tianxiawugou_01		身体受击点			青龙出水	1	
147	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点			三味真火	1	
148	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点	all_em_bj00000		身体受击点			飘雪穿云（金顶绵掌）	1	
149	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点	g01_dl_zdo_yuqinguzong		身体受击点			欲擒故纵	1	
150	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点			回风扶柳	1	
151	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点	a_y_xingxiu_zdo	Skills\Xx\Xx_蓝砂手_击中.wav	身体受击点			蓝砂手	1	
152	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_2.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\fan_hit_1.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_3.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_4.wav	身体受击点	a_y_xiaoyao_zdo	Skills\Weapon\sword_hit_light_4.wav	身体受击点			落英剑	1	
153	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点	a_y_emei_zdo	Skills\Em\Em_貂蝉拜月_击中.wav	身体受击点			貂蝉拜月	1	
154	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点	a_y_dali_zdo	Skills\Common\bullet_explode1.wav	身体受击点			正阳手	1	
155	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点	a_y_wudang_zdo	Skills\Wd\Wd_八卦掌_击中.wav	身体受击点			八卦掌	1	
156	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点	npc_shou_danwai		身体受击点			爪击	1	
157	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点	npc_zhanji_zdo		身体受击点			斩击	1	
158	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点	npc_zhangji_zdo		身体受击点			掌击	1	
159	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点	npc_tongji_zdo		身体受击点			痛击	1	
160	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点	g01_yipailiangsan_02		脚下光圈点			剧情攻击特效	1	
161	隐身		脚下光圈点	隐身		脚下光圈点	隐身		脚下光圈点	隐身		脚下光圈点	隐身		脚下光圈点			剧情消失特效	1	
162	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点	g01_wd_zdo_tiangangbeidouzhen		身体受击点			真武七截阵	1	
163	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	g01_wd_zdo_tianmafeipu	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点			天马飞瀑	1	
164	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点	g01_wd_zdo_xianrenzhilu		身体受击点			仙人指路	1	
165	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点	g01_wd_zdo_rufengsibi		身体受击点			玉女穿梭	1	
166	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点			神门十三剑	1	
167	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点	g01_em_zdo_jiuyinbaiguzhua		身体受击点			西子捧心	1	
168	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点	g01_em_zdo_jindingmianzhang		身体受击点			障眼法	1	
169	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点	g01_xx_zdo_lianzhufushidu		身体受击点			连珠腐尸毒	1	
170	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点	g01_xx_jq_zdo_玄冥神掌		身体受击点			玄冥神掌	1	
171	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点	g01_xx_zdo_qingshezhang		身体受击点			青蛇掌	1	
172	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点	g01_xx_zdo_bingcanzhang		身体受击点			冰蚕掌	1	
173	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点	g01_xx_sf_zdo_化骨绵掌		身体受击点			化骨绵掌	1	
174	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点	g01_dl_zdo_kuxinzhi		身体受击点			雪拥蓝关	1	
175	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点	g01_dl_zdo_wanyuechaozong		身体受击点			万岳朝宗	1	
176	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点	g01_ts_zdo_shengsifu		身体受击点			寒梅怒放	1	
177	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点	g01_xy_sf_zdo_花开縻荼		身体受击点			弹指神通	1	
178	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点	g01_xy_sf_zdo_高山留水		身体受击点			潇湘夜雨	1	
179	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点	g01_xy_zdo_lingyanshibagong	Skills\Common\bullet_explode1.wav	身体受击点			溪山行旅	1	
180	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点	g01_xy_zdo_beimingshenquan		身体受击点			惊涛骇浪	1	
181	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	npc_ren_danwai_zdo	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			高级打击	1	
182	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点			连击	1	
183	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点	npc_all_dubao_zdo	Skills\Common\poison_4.wav	身体受击点			毒爆	1	
184	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点	npc_all_danxuan_zdo	Skills\Common\lighting_1.wav	身体受击点			玄爆	1	
185	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点	g01_mj_zdo_yanlongzhan	Skills\Common\fire_explode_1.wav	身体受击点			火爆	1	
186	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点	npc_all_qunnei_zdo	Skills\Common\explosion_2.wav	身体受击点			群内	1	
187	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2_late.wav	身体受击点	g01_sl_zdo_dalijingangzhang	Skills\Weapon\fist_hit_middle_2.wav	身体受击点			兽群外	1	
188	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo	Skills\Common\ice_explode_1.wav	身体受击点			冰爆	1	
189	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点	npc_ren_qunwai_zdo	Skills\Wd\Wd_天马飞瀑_击中.wav	身体受击点			人群外	1	
190	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点	npc_shou_danwai	Skills\Common\scratch_1.wav	身体受击点			兽单外	1	
191	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点	npc_all_lianji_zdo	Skills\Common\explosion_1.wav	身体受击点			单内	1	
192	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点	npc_all_gongsheng	Skills\Common\whoosh_1.wav	脚下光圈点			共生	1	
193	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点	npc_all_kongzhi_zdo	Skills\Common\fog.wav	身体受击点			控制	1	
194	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_gb_zdo	Skills\Common\explosion_3.wav	身体受击点			天下无狗	1	
195	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点	秘籍_dl_zdo	Skills\Common\explosion_3.wav	身体受击点			少泽剑	1	
196	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点	g01_sl_zdo_fuhuquan	Skills\Common\explosion_3.wav	身体受击点			宠外	1	
197	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点	npc_all_danbing_zdo_01	Skills\Common\ice_explode_1.wav	身体受击点			移花接木	1	
198	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点	yanhuo34	yanhuo02.wav	前置特效点			快乐游戏	1	
199	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点	yanhuo35	yanhuo02.wav	前置特效点			经典武侠	1	
200	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点	yanhuo_庆	yanhuo02.wav	前置特效点			庆祝公测	1	
201	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点	yanhuo_乔	yanhuo02.wav	前置特效点			乔峰归来	1	
202	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点			升级特效蓝绿转红	1	
203	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1112	interface\sound_shengji.wav	脚下光圈点			升级特效黄转紫	1	
204	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1113	interface\sound_shengji.wav	脚下光圈点			升级特效紫红转蓝绿	1	
205	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点			升级特效黄转绿	1	
206	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1115	interface\sound_shengji.wav	脚下光圈点			升级特效紫转黄	1	
207	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点	g01_em_buff1116	interface\sound_shengji.wav	脚下光圈点			升级特效蓝转橙	1	
208																		999朵玫瑰特效	1	
209	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点	all_bj0004_01	Skills\Weapon\longsword_hit_heavy_1.wav	身体受击点			神器伤害特效	1	
220	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点	g01_dl_中冲剑_zdo	Skills\Common\explosion_3.wav	身体受击点			中冲剑受击	1	
221	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点	宝箱被打开	interface\sound_shengji.wav	脚下光圈点			宝箱被打开	1	
222	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点	g01_wd_zdo_shenmenshisanjian		身体受击点			落马	1	
223	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点	npc_雪人变大		身体受击点			雪人放大	1	
224	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点	g01_暴击获得经验		脚下光圈点			暴击获得经验	1	
225	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点	g01_普通挂机获得经验		脚下光圈点			普通挂机获得经验	1	
226	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点	h_鞭炮_04	ambience\society\bianpao_single.wav	头顶状态点			一枚鞭炮燃放	1	
227	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点	h_鞭炮_05	ambience\society\bianpao_several.wav	头顶状态点			一串鞭炮燃放	1	
228	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点	g01_dl_zdo_yiyangzhi		身体受击点			犯兽	1	
229	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点	m01_gb_神龙闪现_zod		身体受击点			棒打狗头	1	
230																		剑舞(紫)	1	
231																		剑舞(红)	1	
232																		剑舞(白)	1	
233																		剑舞(黄)	1	
234																		剑舞(蓝)	1	
235																		剑舞(绿)	1	
236	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点	kvk_zc_青龙战车_buff		脚下光圈点				1	
237	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点	kvk_zc_白虎战车_buff		脚下光圈点				1	
238	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点	kvk_zc_朱雀战车_buff		脚下光圈点				1	
239	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点	kvk_zc_玄武战车_buff		脚下光圈点				1	
240	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点	暗器升级	interface\sound_shengji.wav	脚下光圈点				1	
