INT	STRING	STRING	INT	INT	STRING	INT	INT	INT
编号	名称$1$	对应模型	对应生活技能ID	对应任务ID	Tips默认$1$	打开时间默认	脚本ID	打开动画
846	霜竹·丰产	草药矿石/npc霜竹高级.obj	63	0		0	890350	0	
847	贞云松·丰产	草药矿石/npc贞云松高级.obj	63	0		0	890350	0	
848	芝兰	草药矿石/npc芝兰.obj	63	0		0	890350	0	
849	血茯苓	草药矿石/npc血茯苓.obj	63	0		0	890350	0	
850	彼岸灵花	草药矿石/npc彼岸灵花.obj	63	0		0	890350	0	
851	茭白	草药矿石/npc茭白.obj	63	0		0	890350	0	
852	盈月笋	草药矿石/npc盈月笋.obj	63	0		0	890350	0	
853	流华松露	草药矿石/npc流华松露.obj	63	0		0	890350	0	
854	玄铁	草药矿石/npc玄铁矿石.obj	64	0		0	890350	0	
855	锻月银	草药矿石/npc锻月银矿石.obj	64	0		0	890350	0	
856	霄华鎏金	草药矿石/npc霄华鎏金矿石.obj	64	0		0	890350	0	
857	霜竹	草药矿石/npc霜竹.obj	63	0		0	890350	0	
858	贞云松	草药矿石/npc贞云松.obj	63	0		0	890350	0	
859	怀雅檀木	草药矿石/npc怀雅檀木.obj	63	0		0	890350	0	
860	芝兰·丰产	草药矿石/npc芝兰高级.obj	63	0		0	890350	0	
861	血茯苓·丰产	草药矿石/npc血茯苓高级.obj	63	0		0	890350	0	
862	彼岸灵花·丰产	草药矿石/npc彼岸灵花高级.obj	63	0		0	890350	0	
863	茭白·丰产	草药矿石/npc茭白高级.obj	63	0		0	890350	0	
864	盈月笋·丰产	草药矿石/npc盈月笋高级.obj	63	0		0	890350	0	
865	流华松露·丰产	草药矿石/npc流华松露高级.obj	63	0		0	890350	0	
866	玄铁·丰产	草药矿石/npc玄铁矿石高级.obj	64	0		0	890350	0	
867	锻月银·丰产	草药矿石/npc锻月银矿石高级.obj	64	0		0	890350	0	
868	霄华鎏金·丰产	草药矿石/npc霄华鎏金矿石高级.obj	64	0		0	890350	0	
869	霜竹·丰产	草药矿石/npc霜竹高级.obj	63	0		0	890350	0	
870	贞云松·丰产	草药矿石/npc贞云松高级.obj	63	0		0	890350	0	
871	怀雅檀木·丰产	草药矿石/npc怀雅檀木高级.obj	63	0		0	890350	0	
