INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
427	124	2	41049786	820995	163.5	1	41049786	820995	163.5	1	80571123	1611422	163.5	1	4585348	91706	163.5	1	22490042	449800	163.5	1	33579550	671591	163.5	1	33579550	671591	163.5	1	28284601	565692	163.5	1	11009576	220191	163.5	1	23350261	467005	163.5	1	29878706	597574	163.5	1
428	125	2	41584637	831692	165	1	41584637	831692	165	1	81620910	1632418	165	1	4645092	92901	165	1	22783072	455661	165	1	34017068	680341	165	1	34017068	680341	165	1	28653130	573062	165	1	11153023	223060	165	1	23654498	473089	165	1	30268005	605360	165	1
429	126	2	42119487	842389	166.5	1	42119487	842389	166.5	1	82670697	1653413	166.5	1	4704836	94096	166.5	1	23076102	461522	166.5	1	34454587	689091	166.5	1	34454587	689091	166.5	1	29021659	580433	166.5	1	11296471	225929	166.5	1	23958736	479174	166.5	1	30657304	613146	166.5	1
430	127	2	42654338	853086	168	1	42654338	853086	168	1	83720483	1674409	168	1	4764580	95291	168	1	23369132	467382	168	1	34892105	697842	168	1	34892105	697842	168	1	29390188	587803	168	1	11439918	228798	168	1	24262974	485259	168	1	31046603	620932	168	1
431	128	2	43189189	863783	169.5	1	43189189	863783	169.5	1	84770270	1695405	169.5	1	4824324	96486	169.5	1	23662162	473243	169.5	1	35329624	706592	169.5	1	35329624	706592	169.5	1	29758717	595174	169.5	1	11583365	231667	169.5	1	24567212	491344	169.5	1	31435902	628718	169.5	1
432	129	2	43724039	874480	171	1	43724039	874480	171	1	85820056	1716401	171	1	4884068	97681	171	1	23955192	479103	171	1	35767142	715342	171	1	35767142	715342	171	1	30127246	602544	171	1	11726812	234536	171	1	24871450	497429	171	1	31825201	636504	171	1
433	130	2	44258890	885177	172.5	1	44258890	885177	172.5	1	86869843	1737396	172.5	1	4943812	98876	172.5	1	24248221	484964	172.5	1	36204661	724093	172.5	1	36204661	724093	172.5	1	30495775	609915	172.5	1	11870260	237405	172.5	1	25175688	503513	172.5	1	32214500	644290	172.5	1
434	131	2	44793741	895874	174	1	44793741	895874	174	1	87919630	1758392	174	1	5003556	100071	174	1	24541251	490825	174	1	36642180	732843	174	1	36642180	732843	174	1	30864304	617286	174	1	12013707	240274	174	1	25479926	509598	174	1	32603800	652076	174	1
435	132	2	45328591	906571	175.5	1	45328591	906571	175.5	1	88969416	1779388	175.5	1	5063300	101266	175.5	1	24834281	496685	175.5	1	37079698	741593	175.5	1	37079698	741593	175.5	1	31232833	624656	175.5	1	12157154	243143	175.5	1	25784164	515683	175.5	1	32993099	659861	175.5	1
436	133	2	45863442	917268	177	1	45863442	917268	177	1	90019203	1800384	177	1	5123044	102460	177	1	25127311	502546	177	1	37517217	750344	177	1	37517217	750344	177	1	31601362	632027	177	1	12300601	246012	177	1	26088402	521768	177	1	33382398	667647	177	1
437	134	2	46398293	927965	178.5	1	46398293	927965	178.5	1	91068990	1821379	178.5	1	5182788	103655	178.5	1	25420341	508406	178.5	1	37954735	759094	178.5	1	37954735	759094	178.5	1	31969891	639397	178.5	1	12444049	248880	178.5	1	26392640	527852	178.5	1	33771697	675433	178.5	1
438	135	2	46933143	938662	180	1	46933143	938662	180	1	92118776	1842375	180	1	5242532	104850	180	1	25713371	514267	180	1	38392254	767845	180	1	38392254	767845	180	1	32338420	646768	180	1	12587496	251749	180	1	26696878	533937	180	1	34160996	683219	180	1
439	136	2	47467994	949359	181.5	1	47467994	949359	181.5	1	93168563	1863371	181.5	1	5302275	106045	181.5	1	26006401	520128	181.5	1	38829772	776595	181.5	1	38829772	776595	181.5	1	32706949	654138	181.5	1	12730943	254618	181.5	1	27001116	540022	181.5	1	34550295	691005	181.5	1
440	137	2	48002844	960056	183	1	48002844	960056	183	1	94218349	1884366	183	1	5362019	107240	183	1	26299431	525988	183	1	39267291	785345	183	1	39267291	785345	183	1	33075478	661509	183	1	12874390	257487	183	1	27305354	546107	183	1	34939594	698791	183	1
441	138	2	48537695	970753	184.5	1	48537695	970753	184.5	1	95268136	1905362	184.5	1	5421763	108435	184.5	1	26592460	531849	184.5	1	39704810	794096	184.5	1	39704810	794096	184.5	1	33444007	668880	184.5	1	13017838	260356	184.5	1	27609592	552191	184.5	1	35328893	706577	184.5	1
442	139	2	49072546	981450	186	1	49072546	981450	186	1	96317923	1926358	186	1	5481507	109630	186	1	26885490	537709	186	1	40142328	802846	186	1	40142328	802846	186	1	33812536	676250	186	1	13161285	263225	186	1	27913830	558276	186	1	35718192	714363	186	1
443	140	2	49607396	992147	187.5	1	49607396	992147	187.5	1	97367709	1947354	187.5	1	5541251	110825	187.5	1	27178520	543570	187.5	1	40579847	811596	187.5	1	40579847	811596	187.5	1	34181065	683621	187.5	1	13304732	266094	187.5	1	28218067	564361	187.5	1	36107492	722149	187.5	1
444	141	2	50142247	1002844	189	1	50142247	1002844	189	1	98417496	1968349	189	1	5600995	112019	189	1	27471550	549431	189	1	41017365	820347	189	1	41017365	820347	189	1	34549594	690991	189	1	13448179	268963	189	1	28522305	570446	189	1	36496791	729935	189	1
445	142	2	50677098	1013541	190.5	1	50677098	1013541	190.5	1	99467283	1989345	190.5	1	5660739	113214	190.5	1	27764580	555291	190.5	1	41454884	829097	190.5	1	41454884	829097	190.5	1	34918123	698362	190.5	1	13591627	271832	190.5	1	28826543	576530	190.5	1	36886090	737721	190.5	1
446	143	2	51211948	1024238	192	1	51211948	1024238	192	1	100517069	2010341	192	1	5720483	114409	192	1	28057610	561152	192	1	41892402	837848	192	1	41892402	837848	192	1	35286652	705733	192	1	13735074	274701	192	1	29130781	582615	192	1	37275389	745507	192	1
447	144	2	51746799	1034935	193.5	1	51746799	1034935	193.5	1	101566856	2031337	193.5	1	5780227	115604	193.5	1	28350640	567012	193.5	1	42329921	846598	193.5	1	42329921	846598	193.5	1	35655181	713103	193.5	1	13878521	277570	193.5	1	29435019	588700	193.5	1	37664688	753293	193.5	1
448	145	2	52281650	1045633	195	1	52281650	1045633	195	1	102616642	2052332	195	1	5839971	116799	195	1	28643669	572873	195	1	42767440	855348	195	1	42767440	855348	195	1	36023710	720474	195	1	14021968	280439	195	1	29739257	594785	195	1	38053987	761079	195	1
449	146	2	52816500	1056330	196.5	1	52816500	1056330	196.5	1	103666429	2073328	196.5	1	5899715	117994	196.5	1	28936699	578733	196.5	1	43204958	864099	196.5	1	43204958	864099	196.5	1	36392239	727844	196.5	1	14165416	283308	196.5	1	30043495	600869	196.5	1	38443286	768865	196.5	1
450	147	2	53351351	1067027	198	1	53351351	1067027	198	1	104716216	2094324	198	1	5959459	119189	198	1	29229729	584594	198	1	43642477	872849	198	1	43642477	872849	198	1	36760768	735215	198	1	14308863	286177	198	1	30347733	606954	198	1	38832585	776651	198	1
451	148	2	53886201	1077724	199.5	1	53886201	1077724	199.5	1	105766002	2115320	199.5	1	6019203	120384	199.5	1	29522759	590455	199.5	1	44079995	881599	199.5	1	44079995	881599	199.5	1	37129297	742585	199.5	1	14452310	289046	199.5	1	30651971	613039	199.5	1	39221884	784437	199.5	1
452	149	2	54421052	1088421	201	1	54421052	1088421	201	1	106815789	2136315	201	1	6078947	121578	201	1	29815789	596315	201	1	44517514	890350	201	1	44517514	890350	201	1	37497826	749956	201	1	14595757	291915	201	1	30956209	619124	201	1	39611183	792223	201	1
453	150	2	54955903	1099118	202.5	1	54955903	1099118	202.5	1	107865576	2157311	202.5	1	6138691	122773	202.5	1	30108819	602176	202.5	1	44955032	899100	202.5	1	44955032	899100	202.5	1	37866355	757327	202.5	1	14739205	294784	202.5	1	31260447	625208	202.5	1	40000483	800009	202.5	1
454	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
455	1	3	2081	62	1	1	2081	62	1	1	3056	91	1	1	1035	31	1	1	617	18	1	1	1695	50	1	1	1695	50	1	1	588	17	1	1	1252	37	1	1	741	22	1	1	679	20	1	1
456	2	3	25861	775	2	1	25861	775	2	1	37987	1139	2	1	12868	386	2	1	7671	230	2	1	21064	631	2	1	21064	631	2	1	7311	219	2	1	15563	466	2	1	9220	276	2	1	8445	253	2	1
457	3	3	74169	2224	3	1	74169	2224	3	1	108947	3268	3	1	36907	1107	3	1	22002	660	3	1	60412	1812	3	1	60412	1812	3	1	20968	629	3	1	44636	1339	3	1	26443	793	3	1	24221	726	3	1
458	4	3	139996	4199	4	1	139996	4199	4	1	205640	6169	4	1	69663	2089	4	1	41529	1245	4	1	114029	3420	4	1	114029	3420	4	1	39579	1187	4	1	84252	2527	4	1	49912	1497	4	1	45718	1371	4	1
459	5	3	220612	6618	5	1	220612	6618	5	1	324057	9721	5	1	109778	3293	5	1	65444	1963	5	1	179692	5390	5	1	179692	5390	5	1	62370	1871	5	1	132768	3982	5	1	78654	2359	5	1	72045	2161	5	1
460	6	3	314379	9431	6	1	314379	9431	6	1	461792	13853	6	1	156437	4693	6	1	93261	2797	6	1	256067	7681	6	1	256067	7681	6	1	88880	2666	6	1	189198	5675	6	1	112084	3362	6	1	102666	3079	6	1
461	7	3	420161	12604	7	1	420161	12604	7	1	617175	18515	7	1	209075	6272	7	1	124641	3739	7	1	342228	10266	7	1	342228	10266	7	1	118786	3563	7	1	252860	7585	7	1	149798	4493	7	1	137211	4116	7	1
462	8	3	537107	16113	8	1	537107	16113	8	1	788957	23668	8	1	267268	8018	8	1	159333	4779	8	1	437483	13124	8	1	437483	13124	8	1	151848	4555	8	1	323240	9697	8	1	191493	5744	8	1	175402	5262	8	1
463	9	3	664545	19936	9	1	664545	19936	9	1	976150	29284	9	1	330682	9920	9	1	197137	5914	9	1	541283	16238	9	1	541283	16238	9	1	187877	5636	9	1	399934	11998	9	1	236927	7107	9	1	217019	6510	9	1
464	10	3	801927	24057	10	1	801927	24057	10	1	1177950	35338	10	1	399045	11971	10	1	237892	7136	10	1	653183	19595	10	1	653183	19595	10	1	226717	6801	10	1	482613	14478	10	1	285908	8577	10	1	261884	7856	10	1
465	11	3	948794	28463	11	1	948794	28463	11	1	1393683	41810	11	1	472127	14163	11	1	281460	8443	11	1	772808	23184	11	1	772808	23184	11	1	268238	8047	11	1	571000	17129	11	1	338270	10148	11	1	309846	9295	11	1
466	12	3	1104753	33142	12	1	1104753	33142	12	1	1622772	48683	12	1	549734	16491	12	1	327726	9831	12	1	899840	26995	12	1	899840	26995	12	1	312331	9369	12	1	664859	19945	12	1	393874	11816	12	1	360777	10823	12	1
467	13	3	1269465	38083	13	1	1269465	38083	13	1	1864717	55941	13	1	631695	18950	13	1	376587	11297	13	1	1034000	31019	13	1	1034000	31019	13	1	358897	10766	13	1	763985	22919	13	1	452598	13577	13	1	414567	12437	13	1
468	14	3	1442629	43278	14	1	1442629	43278	14	1	2119077	63572	14	1	717863	21535	14	1	427957	12838	14	1	1175045	35251	14	1	1175045	35251	14	1	407853	12235	14	1	868198	26045	14	1	514335	15430	14	1	471117	14133	14	1
469	15	3	1623978	48719	15	1	1623978	48719	15	1	2385460	71563	15	1	808103	24243	15	1	481754	14452	15	1	1322757	39682	15	1	1322757	39682	15	1	459123	13773	15	1	977336	29320	15	1	578991	17369	15	1	530340	15910	15	1
470	16	3	1813273	54398	16	1	1813273	54398	16	1	2663515	79905	16	1	902298	27068	16	1	537908	16137	16	1	1476940	44308	16	1	1476940	44308	16	1	512640	15379	16	1	1091257	32737	16	1	646479	19394	16	1	592158	17764	16	1
471	17	3	2010296	60308	17	1	2010296	60308	17	1	2952924	88587	17	1	1000339	30010	17	1	596356	17890	17	1	1637420	49122	17	1	1637420	49122	17	1	568342	17050	17	1	1209829	36294	17	1	716724	21501	17	1	656499	19694	17	1
472	18	3	2214853	66445	18	1	2214853	66445	18	1	3253396	97601	18	1	1102127	33063	18	1	657037	19711	18	1	1804034	54120	18	1	1804034	54120	18	1	626173	18785	18	1	1332935	39987	18	1	789653	23689	18	1	723301	21699	18	1
473	19	3	2426761	72802	19	1	2426761	72802	19	1	3564668	106939	19	1	1207574	36227	19	1	719900	21596	19	1	1976637	59299	19	1	1976637	59299	19	1	686082	20582	19	1	1460464	43813	19	1	865204	25956	19	1	792504	23775	19	1
474	20	3	2645854	79375	20	1	2645854	79375	20	1	3886494	116594	20	1	1316597	39497	20	1	784894	23546	20	1	2155092	64652	20	1	2155092	64652	20	1	748023	22440	20	1	1592318	47769	20	1	943317	28299	20	1	864053	25921	20	1
475	21	3	2871978	86159	21	1	2871978	86159	21	1	4218648	126559	21	1	1429118	42873	21	1	851974	25559	21	1	2339274	70178	21	1	2339274	70178	21	1	811952	24358	21	1	1728404	51852	21	1	1023936	30718	21	1	937898	28136	21	1
476	22	3	3104992	93149	22	1	3104992	93149	22	1	4560921	136827	22	1	1545067	46351	22	1	921098	27632	22	1	2529067	75871	22	1	2529067	75871	22	1	877829	26334	22	1	1868635	56058	22	1	1107011	33210	22	1	1013993	30419	22	1
477	23	3	3344760	100342	23	1	3344760	100342	23	1	4913117	147393	23	1	1664378	49931	23	1	992225	29766	23	1	2724363	81730	23	1	2724363	81730	23	1	945615	28368	23	1	2012932	60387	23	1	1192495	35774	23	1	1092293	32768	23	1
478	24	3	3591159	107734	24	1	3591159	107734	24	1	5275052	158251	24	1	1786988	53609	24	1	1065320	31959	24	1	2925059	87751	24	1	2925059	87751	24	1	1015276	30458	24	1	2161219	64836	24	1	1280343	38410	24	1	1172760	35182	24	1
479	25	3	3844072	115322	25	1	3844072	115322	25	1	5646556	169396	25	1	1912840	57385	25	1	1140346	34210	25	1	3131061	93931	25	1	3131061	93931	25	1	1086778	32603	25	1	2313426	69402	25	1	1370513	41115	25	1	1255353	37660	25	1
480	26	3	4103389	123101	26	1	4103389	123101	26	1	6027467	180823	26	1	2041878	61256	26	1	1217273	36518	26	1	3342279	100268	26	1	3342279	100268	26	1	1160091	34802	26	1	2469487	74084	26	1	1462967	43888	26	1	1340038	40201	26	1
481	27	3	4369006	131070	27	1	4369006	131070	27	1	6417631	192528	27	1	2174051	65221	27	1	1296068	38882	27	1	3558628	106758	27	1	3558628	106758	27	1	1235185	37055	27	1	2629340	78880	27	1	1557666	46729	27	1	1426780	42803	27	1
482	28	3	4640825	139224	28	1	4640825	139224	28	1	6816906	204507	28	1	2309310	69279	28	1	1376704	41301	28	1	3780029	113400	28	1	3780029	113400	28	1	1312033	39360	28	1	2792925	83787	28	1	1654577	49637	28	1	1515548	45466	28	1
483	29	3	4918753	147562	29	1	4918753	147562	29	1	7225155	216754	29	1	2447609	73428	29	1	1459151	43774	29	1	4006406	120192	29	1	4006406	120192	29	1	1390607	41718	29	1	2960187	88805	29	1	1753665	52609	29	1	1606310	48189	29	1
484	30	3	5202702	156081	30	1	5202702	156081	30	1	7642247	229267	30	1	2588904	77667	30	1	1543385	46301	30	1	4237687	127130	30	1	4237687	127130	30	1	1470884	44126	30	1	3131072	93932	30	1	1854901	55647	30	1	1699039	50971	30	1
485	31	3	5500000	165000	31.25	1	5500000	165000	31.25	1	8078947	242368	31.25	1	2736842	82105	31.25	1	1631578	48947	31.25	1	4479841	134395	31.25	1	4479841	134395	31.25	1	1554935	46648	31.25	1	3309990	99299	31.25	1	1960895	58826	31.25	1	1796127	53883	31.25	1
486	32	3	5797297	173918	32.5	1	5797297	173918	32.5	1	8515647	255469	32.5	1	2884779	86543	32.5	1	1719772	51593	32.5	1	4721994	141659	32.5	1	4721994	141659	32.5	1	1638985	49169	32.5	1	3488909	104667	32.5	1	2066889	62006	32.5	1	1893215	56796	32.5	1
487	33	3	6094594	182837	33.75	1	6094594	182837	33.75	1	8952347	268570	33.75	1	3032716	90981	33.75	1	1807965	54238	33.75	1	4964148	148924	33.75	1	4964148	148924	33.75	1	1723036	51691	33.75	1	3667827	110034	33.75	1	2172884	65186	33.75	1	1990303	59709	33.75	1
488	34	3	6391891	191756	35	1	6391891	191756	35	1	9389046	281671	35	1	3180654	95419	35	1	1896159	56884	35	1	5206301	156189	35	1	5206301	156189	35	1	1807086	54212	35	1	3846745	115402	35	1	2278878	68366	35	1	2087391	62621	35	1
489	35	3	6689189	200675	36.25	1	6689189	200675	36.25	1	9825746	294772	36.25	1	3328591	99857	36.25	1	1984352	59530	36.25	1	5448455	163453	36.25	1	5448455	163453	36.25	1	1891137	56734	36.25	1	4025664	120769	36.25	1	2384872	71546	36.25	1	2184479	65534	36.25	1
490	36	3	6986486	209594	37.5	1	6986486	209594	37.5	1	10262446	307873	37.5	1	3476529	104295	37.5	1	2072546	62176	37.5	1	5690609	170718	37.5	1	5690609	170718	37.5	1	1975187	59255	37.5	1	4204582	126137	37.5	1	2490867	74726	37.5	1	2281567	68447	37.5	1
491	37	3	7283783	218513	38.75	1	7283783	218513	38.75	1	10699146	320974	38.75	1	3624466	108733	38.75	1	2160739	64822	38.75	1	5932762	177982	38.75	1	5932762	177982	38.75	1	2059238	61777	38.75	1	4383501	131505	38.75	1	2596861	77905	38.75	1	2378655	71359	38.75	1
492	38	3	7581081	227432	40	1	7581081	227432	40	1	11135846	334075	40	1	3772403	113172	40	1	2248933	67467	40	1	6174916	185247	40	1	6174916	185247	40	1	2143288	64298	40	1	4562419	136872	40	1	2702856	81085	40	1	2475743	74272	40	1
493	39	3	7878378	236351	41.25	1	7878378	236351	41.25	1	11572546	347176	41.25	1	3920341	117610	41.25	1	2337126	70113	41.25	1	6417069	192512	41.25	1	6417069	192512	41.25	1	2227339	66820	41.25	1	4741338	142240	41.25	1	2808850	84265	41.25	1	2572831	77184	41.25	1
494	40	3	8175675	245270	42.5	1	8175675	245270	42.5	1	12009246	360277	42.5	1	4068278	122048	42.5	1	2425320	72759	42.5	1	6659223	199776	42.5	1	6659223	199776	42.5	1	2311390	69341	42.5	1	4920256	147607	42.5	1	2914844	87445	42.5	1	2669919	80097	42.5	1
495	41	3	8472972	254189	43.75	1	8472972	254189	43.75	1	12445945	373378	43.75	1	4216216	126486	43.75	1	2513513	75405	43.75	1	6901377	207041	43.75	1	6901377	207041	43.75	1	2395440	71863	43.75	1	5099174	152975	43.75	1	3020839	90625	43.75	1	2767007	83010	43.75	1
496	42	3	8770270	263108	45	1	8770270	263108	45	1	12882645	386479	45	1	4364153	130924	45	1	2601706	78051	45	1	7143530	214305	45	1	7143530	214305	45	1	2479491	74384	45	1	5278093	158342	45	1	3126833	93805	45	1	2864095	85922	45	1
497	43	3	9067567	272027	46.25	1	9067567	272027	46.25	1	13319345	399580	46.25	1	4512091	135362	46.25	1	2689900	80697	46.25	1	7385684	221570	46.25	1	7385684	221570	46.25	1	2563541	76906	46.25	1	5457011	163710	46.25	1	3232827	96984	46.25	1	2961183	88835	46.25	1
498	44	3	9364864	280945	47.5	1	9364864	280945	47.5	1	13756045	412681	47.5	1	4660028	139800	47.5	1	2778093	83342	47.5	1	7627837	228835	47.5	1	7627837	228835	47.5	1	2647592	79427	47.5	1	5635930	169077	47.5	1	3338822	100164	47.5	1	3058271	91748	47.5	1
499	45	3	9662162	289864	48.75	1	9662162	289864	48.75	1	14192745	425782	48.75	1	4807965	144238	48.75	1	2866287	85988	48.75	1	7869991	236099	48.75	1	7869991	236099	48.75	1	2731642	81949	48.75	1	5814848	174445	48.75	1	3444816	103344	48.75	1	3155359	94660	48.75	1
500	46	3	9959459	298783	50	1	9959459	298783	50	1	14629445	438883	50	1	4955903	148677	50	1	2954480	88634	50	1	8112144	243364	50	1	8112144	243364	50	1	2815693	84470	50	1	5993767	179813	50	1	3550810	106524	50	1	3252447	97573	50	1
501	47	3	10256756	307702	51.25	1	10256756	307702	51.25	1	15066145	451984	51.25	1	5103840	153115	51.25	1	3042674	91280	51.25	1	8354298	250628	51.25	1	8354298	250628	51.25	1	2899743	86992	51.25	1	6172685	185180	51.25	1	3656805	109704	51.25	1	3349535	100486	51.25	1
502	48	3	10554054	316621	52.5	1	10554054	316621	52.5	1	15502844	465085	52.5	1	5251778	157553	52.5	1	3130867	93926	52.5	1	8596452	257893	52.5	1	8596452	257893	52.5	1	2983794	89513	52.5	1	6351603	190548	52.5	1	3762799	112883	52.5	1	3446623	103398	52.5	1
503	49	3	10851351	325540	53.75	1	10851351	325540	53.75	1	15939544	478186	53.75	1	5399715	161991	53.75	1	3219061	96571	53.75	1	8838605	265158	53.75	1	8838605	265158	53.75	1	3067845	92035	53.75	1	6530522	195915	53.75	1	3868793	116063	53.75	1	3543711	106311	53.75	1
504	50	3	11148648	334459	55	1	11148648	334459	55	1	16376244	491287	55	1	5547652	166429	55	1	3307254	99217	55	1	9080759	272422	55	1	9080759	272422	55	1	3151895	94556	55	1	6709440	201283	55	1	3974788	119243	55	1	3640799	109223	55	1
505	51	3	11445945	343378	56.25	1	11445945	343378	56.25	1	16812944	504388	56.25	1	5695590	170867	56.25	1	3395448	101863	56.25	1	9322912	279687	56.25	1	9322912	279687	56.25	1	3235946	97078	56.25	1	6888359	206650	56.25	1	4080782	122423	56.25	1	3737887	112136	56.25	1
506	52	3	11743243	352297	57.5	1	11743243	352297	57.5	1	17249644	517489	57.5	1	5843527	175305	57.5	1	3483641	104509	57.5	1	9565066	286951	57.5	1	9565066	286951	57.5	1	3319996	99599	57.5	1	7067277	212018	57.5	1	4186776	125603	57.5	1	3834975	115049	57.5	1
507	53	3	12040540	361216	58.75	1	12040540	361216	58.75	1	17686344	530590	58.75	1	5991465	179743	58.75	1	3571834	107155	58.75	1	9807220	294216	58.75	1	9807220	294216	58.75	1	3404047	102121	58.75	1	7246195	217385	58.75	1	4292771	128783	58.75	1	3932063	117961	58.75	1
508	54	3	12337837	370135	60	1	12337837	370135	60	1	18123044	543691	60	1	6139402	184182	60	1	3660028	109800	60	1	10049373	301481	60	1	10049373	301481	60	1	3488097	104642	60	1	7425114	222753	60	1	4398765	131962	60	1	4029151	120874	60	1
509	55	3	12635135	379054	61.25	1	12635135	379054	61.25	1	18559743	556792	61.25	1	6287339	188620	61.25	1	3748221	112446	61.25	1	10291527	308745	61.25	1	10291527	308745	61.25	1	3572148	107164	61.25	1	7604032	228120	61.25	1	4504760	135142	61.25	1	4126238	123787	61.25	1
510	56	3	12932432	387972	62.5	1	12932432	387972	62.5	1	18996443	569893	62.5	1	6435277	193058	62.5	1	3836415	115092	62.5	1	10533680	316010	62.5	1	10533680	316010	62.5	1	3656198	109685	62.5	1	7782951	233488	62.5	1	4610754	138322	62.5	1	4223326	126699	62.5	1
511	57	3	13229729	396891	63.75	1	13229729	396891	63.75	1	19433143	582994	63.75	1	6583214	197496	63.75	1	3924608	117738	63.75	1	10775834	323275	63.75	1	10775834	323275	63.75	1	3740249	112207	63.75	1	7961869	238856	63.75	1	4716748	141502	63.75	1	4320414	129612	63.75	1
512	58	3	13527027	405810	65	1	13527027	405810	65	1	19869843	596095	65	1	6731152	201934	65	1	4012802	120384	65	1	11017987	330539	65	1	11017987	330539	65	1	3824299	114728	65	1	8140788	244223	65	1	4822743	144682	65	1	4417502	132525	65	1
513	59	3	13824324	414729	66.25	1	13824324	414729	66.25	1	20306543	609196	66.25	1	6879089	206372	66.25	1	4100995	123029	66.25	1	11260141	337804	66.25	1	11260141	337804	66.25	1	3908350	117250	66.25	1	8319706	249591	66.25	1	4928737	147862	66.25	1	4514590	135437	66.25	1
514	60	3	14121621	423648	67.5	1	14121621	423648	67.5	1	20743243	622297	67.5	1	7027027	210810	67.5	1	4189189	125675	67.5	1	11502295	345068	67.5	1	11502295	345068	67.5	1	3992401	119772	67.5	1	8498624	254958	67.5	1	5034731	151041	67.5	1	4611678	138350	67.5	1
515	61	3	14567567	291351	69	1	14567567	291351	69	1	21398293	427965	69	1	7248933	144978	69	1	4321479	86429	69	1	11865525	237310	69	1	11865525	237310	69	1	4118476	82369	69	1	8767002	175340	69	1	5193723	103874	69	1	4757310	95146	69	1
516	62	3	15013513	300270	70.5	1	15013513	300270	70.5	1	22053342	441066	70.5	1	7470839	149416	70.5	1	4453769	89075	70.5	1	12228755	244575	70.5	1	12228755	244575	70.5	1	4244552	84891	70.5	1	9035380	180707	70.5	1	5352714	107054	70.5	1	4902942	98058	70.5	1
517	63	3	15459459	309189	72	1	15459459	309189	72	1	22708392	454167	72	1	7692745	153854	72	1	4586059	91721	72	1	12591986	251839	72	1	12591986	251839	72	1	4370628	87412	72	1	9303757	186075	72	1	5511706	110234	72	1	5048574	100971	72	1
518	64	3	15905405	318108	73.5	1	15905405	318108	73.5	1	23363442	467268	73.5	1	7914651	158293	73.5	1	4718349	94366	73.5	1	12955216	259104	73.5	1	12955216	259104	73.5	1	4496704	89934	73.5	1	9572135	191442	73.5	1	5670697	113413	73.5	1	5194206	103884	73.5	1
519	65	3	16351351	327027	75	1	16351351	327027	75	1	24018492	480369	75	1	8136557	162731	75	1	4850640	97012	75	1	13318446	266368	75	1	13318446	266368	75	1	4622780	92455	75	1	9840512	196810	75	1	5829689	116593	75	1	5339838	106796	75	1
520	66	3	16797297	335945	76.5	1	16797297	335945	76.5	1	24673541	493470	76.5	1	8358463	167169	76.5	1	4982930	99658	76.5	1	13681677	273633	76.5	1	13681677	273633	76.5	1	4748855	94977	76.5	1	10108890	202177	76.5	1	5988681	119773	76.5	1	5485470	109709	76.5	1
521	67	3	17243243	344864	78	1	17243243	344864	78	1	25328591	506571	78	1	8580369	171607	78	1	5115220	102304	78	1	14044907	280898	78	1	14044907	280898	78	1	4874931	97498	78	1	10377268	207545	78	1	6147672	122953	78	1	5631102	112622	78	1
522	68	3	17689189	353783	79.5	1	17689189	353783	79.5	1	25983641	519672	79.5	1	8802275	176045	79.5	1	5247510	104950	79.5	1	14408138	288162	79.5	1	14408138	288162	79.5	1	5001007	100020	79.5	1	10645645	212912	79.5	1	6306664	126133	79.5	1	5776734	115534	79.5	1
523	69	3	18135135	362702	81	1	18135135	362702	81	1	26638691	532773	81	1	9024182	180483	81	1	5379800	107596	81	1	14771368	295427	81	1	14771368	295427	81	1	5127083	102541	81	1	10914023	218280	81	1	6465655	129313	81	1	5922366	118447	81	1
524	70	3	18581081	371621	82.5	1	18581081	371621	82.5	1	27293741	545874	82.5	1	9246088	184921	82.5	1	5512091	110241	82.5	1	15134598	302691	82.5	1	15134598	302691	82.5	1	5253159	105063	82.5	1	11182401	223648	82.5	1	6624647	132492	82.5	1	6067998	121359	82.5	1
525	71	3	19027027	380540	84	1	19027027	380540	84	1	27948790	558975	84	1	9467994	189359	84	1	5644381	112887	84	1	15497829	309956	84	1	15497829	309956	84	1	5379235	107584	84	1	11450778	229015	84	1	6783638	135672	84	1	6213630	124272	84	1
526	72	3	19472972	389459	85.5	1	19472972	389459	85.5	1	28603840	572076	85.5	1	9689900	193798	85.5	1	5776671	115533	85.5	1	15861059	317221	85.5	1	15861059	317221	85.5	1	5505310	110106	85.5	1	11719156	234383	85.5	1	6942630	138852	85.5	1	6359262	127185	85.5	1
527	73	3	19918918	398378	87	1	19918918	398378	87	1	29258890	585177	87	1	9911806	198236	87	1	5908961	118179	87	1	16224289	324485	87	1	16224289	324485	87	1	5631386	112627	87	1	11987534	239750	87	1	7101621	142032	87	1	6504894	130097	87	1
528	74	3	20364864	407297	88.5	1	20364864	407297	88.5	1	29913940	598278	88.5	1	10133712	202674	88.5	1	6041251	120825	88.5	1	16587520	331750	88.5	1	16587520	331750	88.5	1	5757462	115149	88.5	1	12255911	245118	88.5	1	7260613	145212	88.5	1	6650526	133010	88.5	1
