INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	
182	0	女主角头发鱼女时装.mesh	女主角发饰鱼女时装.mesh	瑚光发	女主角头发鱼女时装	女主角发饰鱼女时装	20307245	1	0	PeiFang_5	50000	183	
183	1	男主角头发鱼男时装.mesh	男主角发饰鱼男时装.mesh	瑚光发	男主角头发鱼男时装	男主角发饰鱼男时装	20307245	1	0	PeiFang_5	50000	182	
184	0	女主角工程变身时装头发.mesh		蒙面发	男主角工程变身时装头发		20307246	1	2	PeiFang_5	50000	185	
185	1	男主角工程变身时装头发.mesh		蒙面发	男主角工程变身时装头发		20307246	1	2	PeiFang_5	50000	184	
186	0	W_hair_2024诗酒江湖.mesh	W_hair01_2024诗酒江湖.mesh	解愁发	W_hair_2024诗酒江湖	W_hair01_2024诗酒江湖	20307247	1	2	PeiFang_5	50000	187	
187	1	M_hair_2024诗酒江湖.mesh	M_hair01_2024诗酒江湖.mesh	解愁发	M_hair_2024诗酒江湖	M_hair01_2024诗酒江湖	20307247	1	2	PeiFang_5	50000	186	
188	0	女主角头发中华五色时装.mesh	女主角发饰中华五色时装.mesh	明昭发	女主角头发中华五色时装	女主角发饰中华五色时装	20307248	1	2	PeiFang_5	50000	189	
189	1	男主角头发中华五色时装.mesh	男主角发饰中华五色时装.mesh	明昭发	男主角头发中华五色时装	男主角发饰中华五色时装	20307248	1	2	PeiFang_5	50000	188	
190	0	女主角头发异域时装.mesh	女主角发饰异域时装.mesh	朔夜发	女主角头发异域时装	女主角发饰异域时装	20307249	1	2	PeiFang_5	50000	191	
191	1	男主角头发异域时装.mesh	男主角发饰异域时装.mesh	朔夜发	男主角头发异域时装	男主角发饰异域时装	20307249	1	2	PeiFang_5	50000	190	
192	0	女主角头发白龙万紫千红时装01.mesh	女主角发饰白龙万紫千红时装01.mesh	落雨发	女主角头发白龙万紫千红时装01	女主角发饰白龙万紫千红时装01	20307250	1	2	PeiFang_5	50000	193	
193	1	男主角头发白龙万紫千红时装01.mesh	男主角发饰白龙万紫千红时装01.mesh	落雨发	男主角头发白龙万紫千红时装01	男主角发饰白龙万紫千红时装01	20307250	1	2	PeiFang_5	50000	192	
194	0	W_hair_2024婚服紫霞.mesh	W_hair01_2024婚服紫霞.mesh	婚冠发	W_hair_2024婚服紫霞	W_hair01_2024婚服紫霞	20307251	1	2	PeiFang_5	50000	195	
195	1	M_hair_2024婚服至尊宝.mesh	M_hair01_2024婚服至尊宝.mesh	婚冠发	M_hair_2024婚服至尊宝	M_hair01_2024婚服至尊宝	20307251	1	2	PeiFang_5	50000	194	
196	0	W_hair_2024紫霞.mesh	W_hair01_2024紫霞.mesh	灵霞发	W_hair_2024紫霞	W_hair01_2024紫霞	20307252	1	2	PeiFang_5	50000	197	
197	1	M_hair_2024孙悟空新.mesh	M_hair01_2024孙悟空新.mesh	灵霞发	M_hair_2024孙悟空新	M_hair01_2024孙悟空新	20307252	1	2	PeiFang_5	50000	196	
198	0	W_hair_2024紫霞09.mesh	W_hair01_2024紫霞09.mesh	霜鬓发	W_hair_2024紫霞09	W_hair01_2024紫霞09	20307253	1	2	PeiFang_5	50000	199	
199	1	M_hair_2024孙悟空新09.mesh	M_hair01_2024孙悟空新09.mesh	霜鬓发	M_hair_2024孙悟空新09	M_hair01_2024孙悟空新09	20307253	1	2	PeiFang_5	50000	198	
200	0	W_hair_2024争霸赛第三名.mesh	W_hair01_2024争霸赛第三名.mesh	竹影发	W_hair_2024争霸赛第三名	W_hair01_2024争霸赛第三名	20307255	1	2	PeiFang_5	50000	201	
201	1	M_hair_2024争霸赛第三名.mesh	M_hair01_2024争霸赛第三名.mesh	竹影发	M_hair_2024争霸赛第三名	M_hair01_2024争霸赛第三名	20307255	1	2	PeiFang_5	50000	200	
202	0	W_hair_2024争霸赛第二名.mesh	W_hair01_2024争霸赛第二名.mesh	重岳发	W_hair_2024争霸赛第二名	W_hair01_2024争霸赛第二名	20307256	1	2	PeiFang_5	50000	203	
203	1	M_hair_2024争霸赛第二名.mesh	M_hair01_2024争霸赛第二名.mesh	重岳发	M_hair_2024争霸赛第二名	M_hair01_2024争霸赛第二名	20307256	1	2	PeiFang_5	50000	202	
204	0	W_hair_2024争霸赛第一名.mesh	W_hair01_2024争霸赛第一名.mesh	波澜发	W_hair_2024争霸赛第一名	W_hair01_2024争霸赛第一名	20307257	1	2	PeiFang_5	50000	205	
205	1	M_hair_2024争霸赛第一名.mesh	M_hair01_2024争霸赛第一名.mesh	波澜发	M_hair_2024争霸赛第一名	M_hair01_2024争霸赛第一名	20307257	1	2	PeiFang_5	50000	204	
206	0	W_hair_2024白晶晶.mesh	W_hair01_2024白晶晶.mesh	离怨发	W_hair_2024白晶晶	W_hair01_2024白晶晶	20307254	1	2	PeiFang_5	50000	207	
207	1	M_hair_2024至尊宝.mesh	M_hair01_2024至尊宝.mesh	离怨发	M_hair_2024至尊宝	M_hair01_2024至尊宝	20307254	1	2	PeiFang_5	50000	206	
208	0	W_hair_2024金乌.mesh	W_hair01_2024金乌.mesh	拂晓发	W_hair_2024金乌	W_hair01_2024金乌	20307260	1	2	PeiFang_5	50000	209	
209	1	M_hair_2024金乌.mesh	M_hair01_2024金乌.mesh	拂晓发	M_hair_2024金乌	M_hair01_2024金乌	20307260	1	2	PeiFang_5	50000	208	
210	0	W_hair_2024肉夹馍.mesh	W_hair01_2024肉夹馍.mesh	肉夹馍	W_hair_2024肉夹馍	W_hair01_2024肉夹馍	20307261	1	2	PeiFang_5	50000	211	
211	1	M_hair_2024肉夹馍.mesh	M_hair01_2024肉夹馍.mesh	肉夹馍	M_hair_2024肉夹馍	M_hair01_2024肉夹馍	20307261	1	2	PeiFang_5	50000	210	
212	0	W_hair_2024唐三彩.mesh	W_hair01_2024唐三彩.mesh	染烛发	W_hair_2024唐三彩	W_hair01_2024唐三彩	20307258	1	2	PeiFang_5	50000	213	
213	1	M_hair_2024唐三彩.mesh	M_hair01_2024唐三彩.mesh	染烛发	M_hair_2024唐三彩	M_hair01_2024唐三彩	20307258	1	2	PeiFang_5	50000	212	
214	0	W_hair_2024唐三彩01.mesh	W_hair01_2024唐三彩01.mesh	银灯发	W_hair_2024唐三彩01	W_hair01_2024唐三彩01	20307259	1	2	PeiFang_5	50000	215	
215	1	M_hair_2024唐三彩01.mesh	M_hair01_2024唐三彩01.mesh	银灯发	M_hair_2024唐三彩01	M_hair01_2024唐三彩01	20307259	1	2	PeiFang_5	50000	214	
216	0	W_hair_2024暗夜.mesh	W_hair01_2024暗夜.mesh	缭乱发	W_hair_2024暗夜	W_hair01_2024暗夜	20307262	1	2	PeiFang_5	50000	217	
217	1	M_hair_2024暗夜.mesh		缭乱发	M_hair_2024暗夜		20307262	1	2	PeiFang_5	50000	216	
218	0	W_hair_2024东北大花袄.mesh	W_hair01_2024东北大花袄.mesh	暖冬发	W_hair_2024东北大花袄	W_hair01_2024东北大花袄	20307263	1	2	PeiFang_5	50000	219	
219	1	M_hair_2024东北大花袄.mesh	M_hair01_2024东北大花袄.mesh	暖冬发	M_hair_2024东北大花袄	M_hair01_2024东北大花袄	20307263	1	2	PeiFang_5	50000	218	
220	0	W_hair_2024雪貂.mesh	W_hair01_2024雪貂.mesh	淋雪发	W_hair_2024雪貂	W_hair01_2024雪貂	20307264	1	2	PeiFang_5	50000	221	
221	1	M_hair_2024雪貂.mesh	M_hair01_2024雪貂.mesh	淋雪发	M_hair_2024雪貂	M_hair01_2024雪貂	20307264	1	2	PeiFang_5	50000	220	
222	0	女主角头发冰雪2024时装01.mesh	女主角发饰冰雪2024时装01.mesh	银砂发	女主角头发冰雪2024时装01	女主角发饰冰雪2024时装01	20307265	1	2	PeiFang_5	50000	223	
223	1	男主角头发冰雪2024时装01.mesh	男主角发饰冰雪2024时装01.mesh	银砂发	男主角头发冰雪2024时装01	男主角发饰冰雪2024时装01	20307265	1	2	PeiFang_5	50000	222	
224	0	女主角头发冰雪2024时装.mesh	女主角发饰冰雪2024时装.mesh	雪辉发	女主角头发冰雪2024时装	女主角发饰冰雪2024时装	20307266	1	2	PeiFang_5	50000	225	
225	1	男主角头发冰雪2024时装.mesh	男主角发饰冰雪2024时装.mesh	雪辉发	男主角头发冰雪2024时装	男主角发饰冰雪2024时装	20307266	1	2	PeiFang_5	50000	224	
226	0	W_hair_2024彼岸花.mesh	W_hair01_2024彼岸花.mesh	曼珠发	W_hair_2024彼岸花	W_hair01_2024彼岸花	20307268	1	2	PeiFang_5	50000	227	
227	1	M_hair_2024彼岸花.mesh	M_hair01_2024彼岸花.mesh	曼珠发	M_hair_2024彼岸花	M_hair01_2024彼岸花	20307268	1	2	PeiFang_5	50000	226	
228	0	W_hair_2024青蛇.mesh	W_hair01_2024青蛇.mesh	蛇影发	W_hair_2024青蛇	W_hair01_2024青蛇	20307270	1	2	PeiFang_5	50000	229	
229	1	M_hair_2024青蛇.mesh	M_hair01_2024青蛇.mesh	蛇影发	M_hair_2024青蛇	M_hair01_2024青蛇	20307270	1	2	PeiFang_5	50000	228	
230	0	W_hair_2024银狼.mesh	W_hair01_2024银狼.mesh	不渝发	W_hair_2024银狼	W_hair01_2024银狼	20307267	1	2	PeiFang_5	50000	231	
231	1	M_hair_2024银狼.mesh	M_hair01_2024银狼.mesh	不渝发	M_hair_2024银狼	M_hair01_2024银狼	20307267	1	2	PeiFang_5	50000	230	
232	0	W_hair_2024银狼09.mesh	W_hair01_2024银狼09.mesh	故梦发	W_hair_2024银狼09	W_hair01_2024银狼09	20307269	1	2	PeiFang_5	50000	233	
233	1	M_hair_2024银狼09.mesh	M_hair01_2024银狼09.mesh	故梦发	M_hair_2024银狼09	M_hair01_2024银狼09	20307269	1	2	PeiFang_5	50000	232	
234	0	W_hair_2025校服.mesh	W_hair01_2025校服.mesh	斐然发	W_hair_2025校服	W_hair01_2025校服	20307271	1	2	PeiFang_5	50000	235	
235	1	M_hair_2025校服.mesh		斐然发	M_hair_2025校服		20307271	1	2	PeiFang_5	50000	234	
236	0	W_hair_2025金瓯永固01.mesh	W_hair01_2025金瓯永固01.mesh	照堂发	W_hair_2025金瓯永固01	W_hair01_2025金瓯永固01	20307272	1	2	PeiFang_5	50000	237	
237	1	M_hair_2025金瓯永固01.mesh	M_hair01_2025金瓯永固01.mesh	照堂发	M_hair_2025金瓯永固01	M_hair01_2025金瓯永固01	20307272	1	2	PeiFang_5	50000	236	
238	0	W_hair_2025金瓯永固.mesh	W_hair01_2025金瓯永固.mesh	登龙发	W_hair_2025金瓯永固	W_hair01_2025金瓯永固	20307273	1	2	PeiFang_5	50000	239	
239	1	M_hair_2025金瓯永固.mesh	M_hair01_2025金瓯永固.mesh	登龙发	M_hair_2025金瓯永固	M_hair01_2025金瓯永固	20307273	1	2	PeiFang_5	50000	238	
240	0	W_hair_2025夏日泳装.mesh	W_hair01_2025夏日泳装.mesh	朝暑发	W_hair_2025夏日泳装	W_hair01_2025夏日泳装	20307274	1	2	PeiFang_5	50000	241	
241	1	M_hair_2025夏日泳装.mesh		朝暑发	M_hair_2025夏日泳装		20307274	1	2	PeiFang_5	50000	240	
242	0	W_hair_2025夏日泳装01.mesh	W_hair01_2025夏日泳装01.mesh	蓬夏发	W_hair_2025夏日泳装01	W_hair01_2025夏日泳装01	20307275	1	2	PeiFang_5	50000	243	
243	1	M_hair_2025夏日泳装01.mesh		蓬夏发	M_hair_2025夏日泳装01		20307275	1	2	PeiFang_5	50000	242	
244	0	W_hair_2025争霸赛第三名.mesh	W_hair01_2025争霸赛第三名.mesh	醉墨发	W_hair_2025争霸赛第三名	W_hair01_2025争霸赛第三名	20307278	1	2	PeiFang_5	50000	245	
245	1	M_hair_2025争霸赛第三名.mesh	M_hair01_2025争霸赛第三名.mesh	醉墨发	M_hair_2025争霸赛第三名	M_hair01_2025争霸赛第三名	20307278	1	2	PeiFang_5	50000	244	
246	0	W_hair_2025争霸赛第二名.mesh	W_hair01_2025争霸赛第二名.mesh	泊风发	W_hair_2025争霸赛第二名	W_hair01_2025争霸赛第二名	20307279	1	2	PeiFang_5	50000	247	
247	1	M_hair_2025争霸赛第二名.mesh	M_hair01_2025争霸赛第二名.mesh	泊风发	M_hair_2025争霸赛第二名	M_hair01_2025争霸赛第二名	20307279	1	2	PeiFang_5	50000	246	
248	0	W_hair_2025争霸赛第一名.mesh	W_hair01_2025争霸赛第一名.mesh	噬天发	W_hair_2025争霸赛第一名	W_hair01_2025争霸赛第一名	20307280	1	2	PeiFang_5	50000	249	
249	1	M_hair_2025争霸赛第一名.mesh	M_hair01_2025争霸赛第一名.mesh	噬天发	M_hair_2025争霸赛第一名	M_hair01_2025争霸赛第一名	20307280	1	2	PeiFang_5	50000	248	
250	0	W_hair_2025七夕聂小倩.mesh	W_hair01_2025七夕聂小倩.mesh	夜话发	W_hair_2025七夕聂小倩	W_hair01_2025七夕聂小倩	20307276	1	2	PeiFang_5	50000	251	
251	1	M_hair_2025燕赤霞.mesh	M_hair01_2025燕赤霞.mesh	夜话发	M_hair_2025燕赤霞	M_hair01_2025燕赤霞	20307276	1	2	PeiFang_5	50000	250	
252	0	W_hair_2025七夕聂小倩09.mesh	W_hair01_2025七夕聂小倩09.mesh	奇梦发	W_hair_2025七夕聂小倩09	W_hair01_2025七夕聂小倩09	20307277	1	2	PeiFang_5	50000	253	
253	1	M_hair_2025燕赤霞09.mesh	M_hair01_2025燕赤霞09.mesh	奇梦发	M_hair_2025燕赤霞09	M_hair01_2025燕赤霞09	20307277	1	2	PeiFang_5	50000	252	
254	0	W_hair_2025羲和.mesh	W_hair01_2025羲和.mesh	浮光发	W_hair_2025羲和	W_hair01_2025羲和	20307281	1	2	PeiFang_5	50000	255	
255	1	M_hair_2025帝俊.mesh	M_hair01_2025帝俊.mesh	浮光发	M_hair_2025帝俊	M_hair01_2025帝俊	20307281	1	2	PeiFang_5	50000	254	
256	0	W_hair_2025羲和01.mesh	W_hair01_2025羲和01.mesh	灵幻发	W_hair_2025羲和01	W_hair01_2025羲和01	20307282	1	2	PeiFang_5	50000	257	
257	1	M_hair_2025帝俊01.mesh	M_hair01_2025帝俊01.mesh	灵幻发	M_hair_2025帝俊01	M_hair01_2025帝俊01	20307282	1	2	PeiFang_5	50000	256	
258	0	W_hair_2025翠竹悠悠重置.mesh	W_hair01_2025翠竹悠悠重置.mesh	清韵发	W_hair_2025翠竹悠悠重置	W_hair01_2025翠竹悠悠重置	20307285	1	2	PeiFang_5	50000	259	
259	1	M_hair_2025翠竹悠悠重置.mesh	M_hair01_2025翠竹悠悠重置.mesh	清韵发	M_hair_2025翠竹悠悠重置	M_hair01_2025翠竹悠悠重置	20307285	1	2	PeiFang_5	50000	258	
10001	0	女主角高模头发02.mesh		游仙发	女主角高模头发02		20307102	1	-1	PeiFang_5	50000	10005	
10005	1	男主角高模头发01.mesh		流云发	男主角高模头发01		20307101	1	-1	PeiFang_5	50000	10001	
10012	1	男主角高模头发03.mesh		鬓华发	男主角高模头发03		20307108	1	-1	PeiFang_5	50000	10017	
10014	1	男主角高模头发02.mesh		宝锦发	男主角高模头发02		20307110	1	-1	PeiFang_5	50000	10019	
10017	0	女主角高模头发08.mesh		鬓华发	女主角高模头发08		20307108	1	-1	PeiFang_5	50000	10012	
10019	0	女主角高模头发17.mesh		宝锦发	女主角高模头发17		20307110	1	-1	PeiFang_5	50000	10014	
