INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
151	20250811	20250907	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	20250811	20250907	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
153	20250811	20250907	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
154	20250811	20250907	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
155	20250811	20250907	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156	20250811	20250907	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	20250811	20250907	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
158	20250811	20250907	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
159	20250811	20250907	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	20250811	20250907	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	20250908	20251005	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	20250908	20251005	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
163	20250908	20251005	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
164	20250908	20251005	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
165	20250908	20251005	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
166	20250908	20251005	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
167	20250908	20251005	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
168	20250908	20251005	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
169	20250908	20251005	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
170	20250908	20251005	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
171	20250908	20251005	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
172	20250908	20251005	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
173	20250908	20251005	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
174	20250908	20251005	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
175	20250908	20251005	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
176	20250908	20251005	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
177	20250908	20251005	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
178	20250908	20251005	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
179	20250908	20251005	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
180	20250908	20251005	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
181	20251006	20251102	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
182	20251006	20251102	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
183	20251006	20251102	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
184	20251006	20251102	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
185	20251006	20251102	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
186	20251006	20251102	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
187	20251006	20251102	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
188	20251006	20251102	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
189	20251006	20251102	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
190	20251006	20251102	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
191	20251006	20251102	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
192	20251006	20251102	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
193	20251006	20251102	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
194	20251006	20251102	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
195	20251006	20251102	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
196	20251006	20251102	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
197	20251006	20251102	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
198	20251006	20251102	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
199	20251006	20251102	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
200	20251006	20251102	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
201	20251103	20251130	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
202	20251103	20251130	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
203	20251103	20251130	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
204	20251103	20251130	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
205	20251103	20251130	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
206	20251103	20251130	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
207	20251103	20251130	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
208	20251103	20251130	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
209	20251103	20251130	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
210	20251103	20251130	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
211	20251103	20251130	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
212	20251103	20251130	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
213	20251103	20251130	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
214	20251103	20251130	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
215	20251103	20251130	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
216	20251103	20251130	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
217	20251103	20251130	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
218	20251103	20251130	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
219	20251103	20251130	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
220	20251103	20251130	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
221	20251201	20251228	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
222	20251201	20251228	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
223	20251201	20251228	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
224	20251201	20251228	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
225	20251201	20251228	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
226	20251201	20251228	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
227	20251201	20251228	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
228	20251201	20251228	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
229	20251201	20251228	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
230	20251201	20251228	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
231	20251201	20251228	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
232	20251201	20251228	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
233	20251201	20251228	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
234	20251201	20251228	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
235	20251201	20251228	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
236	20251201	20251228	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
237	20251201	20251228	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
238	20251201	20251228	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
239	20251201	20251228	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
240	20251201	20251228	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
241	20251229	20260125	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
242	20251229	20260125	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
243	20251229	20260125	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
244	20251229	20260125	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
245	20251229	20260125	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
246	20251229	20260125	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
247	20251229	20260125	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
248	20251229	20260125	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
249	20251229	20260125	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
250	20251229	20260125	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
251	20251229	20260125	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
252	20251229	20260125	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
253	20251229	20260125	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
254	20251229	20260125	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
255	20251229	20260125	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
256	20251229	20260125	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
257	20251229	20260125	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
258	20251229	20260125	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
259	20251229	20260125	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
260	20251229	20260125	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
261	20260126	20290101	1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002144	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
262	20260126	20290101	2	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
263	20260126	20290101	3	1200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
264	20260126	20290101	4	1600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
265	20260126	20290101	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20310168	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
266	20260126	20290101	6	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20501003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
267	20260126	20290101	7	2800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
268	20260126	20290101	8	3200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
269	20260126	20290101	9	3600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900006	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
270	20260126	20290101	10	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	30900045	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
271	20260126	20290101	11	4400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20502003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
272	20260126	20290101	12	4800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
273	20260126	20290101	13	5200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
274	20260126	20290101	14	5600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	20600002	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
275	20260126	20290101	15	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002818	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
276	20260126	20290101	16	6400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002676	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
277	20260126	20290101	17	6800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
278	20260126	20290101	18	7200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
279	20260126	20290101	19	7600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002533	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
280	20260126	20290101	20	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	38002675	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
