INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
375	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29960	效果2	-1	效果3几率	9	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
376	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29961	效果2	-1	效果3几率	10	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
377	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29962	效果2	-1	效果3几率	10	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
378	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29963	效果2	-1	效果3几率	10	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
379	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29964	效果2	-1	效果3几率	10	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
380	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29965	效果2	-1	效果3几率	10	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
381	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29966	效果2	-1	效果3几率	10	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
382	定海神针防	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29967	效果2	-1	效果3几率	10	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
383	定海神针攻	定海神针	4	0	0	2	5	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	10000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29952	效果2	-1	效果3几率	100	效果3	2610	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
384	定海神针攻	定海神针	4	0	0	2	6	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	12000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29953	效果2	-1	效果3几率	100	效果3	2611	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
385	定海神针攻	定海神针	4	0	0	2	7	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	14000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29954	效果2	-1	效果3几率	100	效果3	2612	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
386	定海神针攻	定海神针	4	0	0	2	8	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	16000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29955	效果2	-1	效果3几率	100	效果3	2613	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
387	定海神针攻	定海神针	4	0	0	2	9	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	18000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29956	效果2	-1	效果3几率	100	效果3	2614	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
388	定海神针攻	定海神针	4	0	0	2	10	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	20000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29957	效果2	-1	效果3几率	100	效果3	2615	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
389	定海神针攻	定海神针	4	0	0	2	12	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	24000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29958	效果2	-1	效果3几率	100	效果3	2616	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
390	定海神针攻	定海神针	4	0	0	2	14	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	28000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29959	效果2	-1	效果3几率	100	效果3	2617	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
391	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29960	效果2	-1	效果3几率	100	效果3	2618	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
392	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29961	效果2	-1	效果3几率	100	效果3	2619	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
393	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29962	效果2	-1	效果3几率	100	效果3	2620	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
394	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29963	效果2	-1	效果3几率	100	效果3	2621	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
395	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29964	效果2	-1	效果3几率	100	效果3	17181	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
396	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29965	效果2	-1	效果3几率	100	效果3	17182	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
397	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29966	效果2	-1	效果3几率	100	效果3	17183	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
398	定海神针攻	定海神针	4	0	0	2	15	g01_xy_定海神针_2	-1	g01_xy_定海神针_3	0		0	0	0	0	0	30000	2000	15	15	-1	-1	4	0	0	0	0	0	0	效果1	29967	效果2	-1	效果3几率	100	效果3	17184	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
401	八阵图	八阵图	2	0	10	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2452	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
402	八阵图	八阵图	2	0	20	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2453	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
403	八阵图	八阵图	2	0	30	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2454	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
404	八阵图	八阵图	2	0	40	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2455	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
405	八阵图	八阵图	2	0	50	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2456	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
406	八阵图	八阵图	2	0	60	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2457	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
407	八阵图	八阵图	2	0	70	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2458	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
408	八阵图	八阵图	2	0	80	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2459	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
409	八阵图	八阵图	2	0	90	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2460	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
410	八阵图	八阵图	2	0	100	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2461	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
411	八阵图	八阵图	2	0	110	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2462	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
412	八阵图	八阵图	2	0	120	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2463	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
413	八阵图	八阵图	2	0	130	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17241	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
414	八阵图	八阵图	2	0	140	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17242	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
415	八阵图	八阵图	2	0	150	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17243	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
416	八阵图	八阵图	2	0	160	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17244	效果2	2683	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
501	八阵图防	八阵图	2	0	10	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2452	效果2	2683	效果3几率	20	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
502	八阵图防	八阵图	2	0	20	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2453	效果2	2683	效果3几率	22	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
503	八阵图防	八阵图	2	0	30	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2454	效果2	2683	效果3几率	24	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
504	八阵图防	八阵图	2	0	40	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2455	效果2	2683	效果3几率	26	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
505	八阵图防	八阵图	2	0	50	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2456	效果2	2683	效果3几率	28	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
506	八阵图防	八阵图	2	0	60	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2457	效果2	2683	效果3几率	30	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
507	八阵图防	八阵图	2	0	70	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2458	效果2	2683	效果3几率	32	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
508	八阵图防	八阵图	2	0	80	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2459	效果2	2683	效果3几率	34	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
509	八阵图防	八阵图	2	0	90	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2460	效果2	2683	效果3几率	36	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
510	八阵图防	八阵图	2	0	100	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2461	效果2	2683	效果3几率	38	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
511	八阵图防	八阵图	2	0	110	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2462	效果2	2683	效果3几率	40	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
512	八阵图防	八阵图	2	0	120	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2463	效果2	2683	效果3几率	42	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
513	八阵图防	八阵图	2	0	130	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17241	效果2	2683	效果3几率	44	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
514	八阵图防	八阵图	2	0	140	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17242	效果2	2683	效果3几率	46	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
515	八阵图防	八阵图	2	0	150	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17243	效果2	2683	效果3几率	48	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
516	八阵图防	八阵图	2	0	160	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17244	效果2	2683	效果3几率	50	效果3	2572	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
601	八阵图攻	八阵图	2	0	10	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2452	效果2	2683	效果3几率	100	效果3	2610	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
602	八阵图攻	八阵图	2	0	20	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2453	效果2	2683	效果3几率	100	效果3	2611	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
603	八阵图攻	八阵图	2	0	30	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2454	效果2	2683	效果3几率	100	效果3	2612	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
604	八阵图攻	八阵图	2	0	40	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2455	效果2	2683	效果3几率	100	效果3	2613	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
605	八阵图攻	八阵图	2	0	50	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2456	效果2	2683	效果3几率	100	效果3	2614	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
606	八阵图攻	八阵图	2	0	60	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2457	效果2	2683	效果3几率	100	效果3	2615	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
607	八阵图攻	八阵图	2	0	70	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2458	效果2	2683	效果3几率	100	效果3	2616	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
608	八阵图攻	八阵图	2	0	80	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2459	效果2	2683	效果3几率	100	效果3	2617	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
609	八阵图攻	八阵图	2	0	90	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2460	效果2	2683	效果3几率	100	效果3	2618	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
610	八阵图攻	八阵图	2	0	100	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2461	效果2	2683	效果3几率	100	效果3	2619	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
611	八阵图攻	八阵图	2	0	110	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2462	效果2	2683	效果3几率	100	效果3	2620	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
612	八阵图攻	八阵图	2	0	120	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	2463	效果2	2683	效果3几率	100	效果3	2621	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
613	八阵图攻	八阵图	2	0	130	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17241	效果2	2683	效果3几率	100	效果3	17181	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
614	八阵图攻	八阵图	2	0	140	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17242	效果2	2683	效果3几率	100	效果3	17182	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
615	八阵图攻	八阵图	2	0	150	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17243	效果2	2683	效果3几率	100	效果3	17183	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
616	八阵图攻	八阵图	2	0	160	1	1	g01_xy_jq_xj_八阵图	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	30000	500	0	4	-1	-1	6	0	0	0	0	0	0	效果1	17244	效果2	2683	效果3几率	100	效果3	17184	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
701	初级陷阱	初级陷阱	-1	0	10	2	1	g01_bamenjinsuo	-1	g01_xy_jq_zdo_八阵图_2	0		0	0	0	0	0	15000	500	2	2	-1	-1	1	0	0	0	0	0	0	效果1	111	效果2	-1	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
737	漫天花雨·心相印	漫天花雨·心相印	0	1	0	0	0	漫天花雨_7	-1		-1		-1	-1	-1	-1	0	125000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
742	欢度元旦贺新年	欢度元旦贺新年	0	1	0	0	0	yanhua_11Q4_元旦节	-1		-1		-1	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
743	炫彩圣诞快乐	炫彩圣诞快乐	0	1	0	0	0	yanhua_11Q4_圣诞节02	-1		-1		-1	0	0	0	0	30000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
744	I DO	I DO	0	1	0	0	0	yanhua_合作烟花_集合	-1		0		0	0	0	0	0	15000	500	0	0	-1	-1	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
801	诛仙阵	诛仙阵	3	0	10	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2749	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
802	诛仙阵	诛仙阵	3	0	20	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2750	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
803	诛仙阵	诛仙阵	3	0	30	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2751	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
804	诛仙阵	诛仙阵	3	0	40	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2752	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
805	诛仙阵	诛仙阵	3	0	50	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2753	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
806	诛仙阵	诛仙阵	3	0	60	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2754	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
807	诛仙阵	诛仙阵	3	0	70	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2755	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
808	诛仙阵	诛仙阵	3	0	80	1	1	g01_xy_jq_xj_诛仙阵	-1	g01_xy_jq_zdo_诛仙阵_1	0		0	0	0	0	0	10000	500	0	6	-1	-1	6	0	0	0	0	0	0	效果1	2756	效果2	2684	效果3几率	-1	效果3	-1	效果4	-1		0		0		0		0		0		0		0		0		0		0		0	
