INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT
ID	分类 ID（互斥用）	PRI优先级	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否为线性特效	线性特效的绑定点	效果说明$1$	特殊坐骑效果	置顶显示	预留	预留
821	821	1500	Buff9_11							1	0	0	0	0		神光：命中目标后有几率减少对方所有抗性各15点，可以将目标的抗性降低至负值	-1	0	1	1	
822	822	1500	Buff9_7							0	0	1	0	0		普渡：降低玄抗30点	-1	0	1	1	
823	823	1500	Buff9_10							0	0	1	0	0		焚魂：降低火抗30点	-1	0	1	1	
824	824	1500	Buff9_8							0	0	1	0	0		炎毒：降低毒抗和火抗各20点	-1	0	1	1	
825	825	1500	Buff9_6							0	0	1	0	0		寒雷：降低玄抗和冰抗各20点	-1	0	1	1	
826	826	1500	Buff9_13							0	0	1	0	0		骤霜：降低冰抗和玄抗各20点	-1	0	1	1	
827	827	1500	Buff9_12							0	0	1	0	0		噬心：降低毒抗30点	-1	0	1	1	
828	828	1500	Buff9_9							0	0	1	0	0		刺骨：降低冰抗30点	-1	0	1	1	
829	829	1500	Buff9_5							0	0	1	0	0		碧火：降低火抗和毒抗各20点	-1	0	1	1	
830	830	1500	Buff9_11							0	0	1	0	0		神光：降低所有抗性各15点	-1	0	1	1	
831	831	1000	Ore2_3	kvk_zc_青龙战车_buff		脚下光圈点				0	0	1	0	0		战车发动攻击	-1	0	1	1	
832	832	1000	Ore2_3	kvk_zc_白虎战车_buff		脚下光圈点				0	0	1	0	0		战车发动攻击	-1	0	1	1	
833	833	1000	Ore2_3	kvk_zc_朱雀战车_buff		脚下光圈点				0	0	1	0	0		战车发动攻击	-1	0	1	1	
834	834	1000	Ore2_3	kvk_zc_玄武战车_buff		脚下光圈点				0	0	1	0	0		战车发动攻击	-1	0	1	1	
835	786	1000	Shenqi_12				wq_吸血触发01		右武器绑定点	0	0	0	1	0		吸取目标的血	-1	0	1	1	
836	787	1000	Shenqi_12				wq_吸气触发01		右武器绑定点	0	0	0	1	0		吸取目标的气	-1	0	1	1	
837	788	2000	Shenqi_12				wq_破绽触发01		右武器绑定点	0	0	0	1	0		已降低一个目标的内外功防御2400	-1	0	1	1	
838	790	2000	Shenqi_6				wq_虚弱触发01		右武器绑定点	0	0	0	1	0		已降低一个目标的内外功攻击2400	-1	0	1	1	
839	793	2000	Shenqi_9				wq_摔绊触发01		右武器绑定点	0	0	0	1	0		已降低一个目标的移动速度45%	-1	0	1	1	
840	799	2000	Shenqi_7				wq_打怒触发01		右武器绑定点	0	0	0	1	0		减少目标的怒气	-1	0	1	1	
841	756	2000	Shenqi_13							1	0	0	0	0		有一定几率吸取目标的血	-1	0	1	1	
842	757	2000	Shenqi_13							1	0	0	0	0		有一定几率降低目标的移动速度	-1	0	1	1	
843	758	2000	Shenqi_13							1	0	0	0	0		有一定几率降低目标的内外功防御	-1	0	1	1	
844	760	2000	Shenqi_12							1	0	0	0	0		有一定几率吸取目标的气	-1	0	1	1	
845	763	2000	Shenqi_6							1	0	0	0	0		有一定几率降低目标的内外功攻击	-1	0	1	1	
846	772	2000	Shenqi_7							1	0	0	0	0		有一定几率减少目标的怒气	-1	0	1	1	
847	646	2000	Shenqi_3							1	0	0	0	0		命中敌人时有机率打出奋力一击，额外造成伤害并在一段时间内增加自身外功攻击，减少对方外功防御	-1	0	1	1	
848	646	2000	Shenqi_2							1	0	0	0	0		命中敌人时有机率打出蓄力一击，额外造成伤害并在一段时间内增加自身内功攻击，减少对方内功防御	-1	0	1	1	
849	646	2000	Shenqi_5							1	0	0	0	0		命中敌人时有机率打出绝妙一击，额外造成伤害并在一段时间内增加自身会心攻击，减少对方会心防御	-1	0	1	1	
850	850	7500	Buff7_11				g01_buff5		身体中心点	1	0	0	0	0		出土文物：免疫外功伤害	-1	0	1	1	
851	851	7500	Buff7_12				g01_buff5		身体中心点	1	0	0	0	0		出土文物：免疫内功伤害	-1	0	1	1	
852	852	7500	Buff7_14							1	0	0	0	0		出土文物：免疫冰系以外的属性伤害	-1	0	1	1	
853	853	7500	Buff7_13							1	0	0	0	0		出土文物：免疫火系以外的属性伤害	-1	0	1	1	
854	854	7500	Buff7_15							1	0	0	0	0		出土文物：免疫玄系以外的属性伤害	-1	0	1	1	
855	855	7500	Buff7_16							1	0	0	0	0		出土文物：免疫毒系以外的属性伤害	-1	0	1	1	
856	856	6000	Buff7_3				boss_飘渺峰哈大霸buff01		身体中心点	1	0	0	0	0		悬枢之痛：悬枢穴生死符发作，无法移动，但伤害加倍	-1	0	1	1	
857	857	6000	Buff7_5				boss_飘渺峰哈大霸buff03		身体中心点	1	0	0	0	0		气海之痛：气海穴生死符发作，所受伤害加倍	-1	0	1	1	
858	858	6000	Buff7_4				boss_飘渺峰哈大霸buff02		身体中心点	1	0	0	0	0		丝竹空之痛：丝竹空穴生死符发作，此时六亲不认，攻击不会转移目标	-1	0	1	1	
859	859	8600	Buff7_6				boss_飘渺峰乌老大buff疯狂		身体中心点	1	0	0	0	0		疯狂：极大的提高移动速度和伤害	-1	0	1	1	
860	860	6000	Buff0_15				g01_buff27		脚下光圈点	0	0	1	0	0		哪里走：因震慑而无法移动	-1	0	1	1	
861	861	7500	Buff8_3		Skills\Common\金甲明镜.wav		boss_飘渺峰卓不凡03		身体中心点	1	0	0	0	0		金甲：免疫外攻伤害	-1	0	1	1	
862	862	7500	Buff8_4		Skills\Common\金甲明镜.wav		boss_飘渺峰卓不凡02		身体中心点	1	0	0	0	0		明镜：免疫内功伤害	-1	0	1	1	
863	863	1000	Buff7_7				boss_飘渺峰卓不凡01		身体中心点	1	0	0	0	0		兄弟：愤怒状态，提高移动速度和伤害	-1	0	1	1	
864	864	1000	Buff8_5		Skills\Common\烟花、暗雷.wav		boss_飘渺峰不平道人02		身体中心点	1	0	0	0	0		暗雷：身中暗雷，爆炸后会对周围队友造成伤害	-1	0	1	1	
865	865	1000	Buff8_5		Skills\Common\烟花、暗雷.wav		boss_飘渺峰不平道人04		身体中心点	1	0	0	0	0		暗雷：身中暗雷，爆炸后会对周围队友造成伤害	-1	0	1	1	
866	866	8600	Buff8_6		Skills\Common\金甲明镜.wav		boss_飘渺峰不平道人03		脚下光圈点	1	0	0	0	0		精算：内外攻中伤害较低的发挥效果，且伤害放大一倍	-1	0	1	1	
867	867	1000	Buff9_2							0	0	0	0	0		有趣：每秒恢复少量的血	-1	0	1	1	
868	868	1000	Buff9_4							0	0	0	0	0		震慑：每秒损失少量的血	-1	0	1	1	
869	869	1000	Buff7_10							0	0	0	0	0		牛毛毒针：因受毒针而降低移动速度	-1	0	1	1	
870	870	1000	Buff8_1							0	0	0	0	0		毒性变换：降低毒抗性180点	-1	0	1	1	
871	871	1000	Buff8_2				g01_buff32		身体受击点	0	0	0	0	0		麻痹毒药：蚀骨之毒，每秒受到一定伤害	-1	0	1	1	
872	872	1000	Buff8_9							0	0	0	0	0		寒冰：因受到冰冻而降低移动速度	-1	0	1	1	
873	873	1000	FightSkillDaLi_4							0	0	0	0	0		有趣：移动速度提高15%	-1	0	1	1	
874	874	1000	Buff1_1	g01_yanggetianjun		身体受击点				0	0	0	0	0		震慑：移动速度降低15%	-1	0	1	1	
875	875	1000	Buff8_12				boss_李秋水04		脚下光圈点	0	0	0	0	0		剑舞·内	-1	0	1	1	
876	875	1000	Buff8_13				boss_李秋水06		脚下光圈点	0	0	0	0	0		剑舞·火	-1	0	1	1	
877	875	1000	Buff8_15				boss_李秋水11		脚下光圈点	0	0	0	0	0		剑舞·外	-1	0	1	1	
878	875	1000	Buff8_14				boss_李秋水14		脚下光圈点	0	0	0	0	0		剑舞·玄	-1	0	1	1	
879	875	1000	Buff8_11				boss_李秋水16		脚下光圈点	0	0	0	0	0		剑舞·冰	-1	0	1	1	
880	875	1000	Buff8_10				boss_李秋水18		脚下光圈点	0	0	0	0	0		剑舞·毒	-1	0	1	1	
881	881	7500	Buff8_12							0	0	0	0	0		剑舞免疫：免疫李秋水剑舞·内	-1	0	1	1	
882	881	7500	Buff8_13							0	0	0	0	0		剑舞免疫：免疫李秋水剑舞·火	-1	0	1	1	
883	881	7500	Buff8_15							0	0	0	0	0		剑舞免疫：免疫李秋水剑舞·外	-1	0	1	1	
884	881	7500	Buff8_14							0	0	0	0	0		剑舞免疫：免疫李秋水剑舞·玄	-1	0	1	1	
885	881	7500	Buff8_11							0	0	0	0	0		剑舞免疫：免疫李秋水剑舞·冰	-1	0	1	1	
886	881	7500	Buff8_10							0	0	0	0	0		剑舞免疫：免疫李秋水剑舞·毒	-1	0	1	1	
887	887	1000	Buff9_1							0	0	0	0	0		有趣：每秒恢复少量的气	-1	0	1	1	
888	888	1000	Buff9_3							0	0	0	0	0		震慑：每秒损失少量的气	-1	0	1	1	
889	99	1400	Ride2_5							0	0	0	1	0		坐骑：碧水金睛兽	99	0	1	1	
890	890	1000	Buff0_16				buff_sangong_01		脚下光圈点	0	1	1	0	0		无法使用任何攻击技能	-1	0	1	1	
891	891	1000	Buff8_1							0	0	0	0	0		毒性变换：降低毒抗性1点	-1	0	1	1	
892	892	1000	FabaoDaoju_1							0	-1	-1	0	0		小明目丹：暗器获得经验变成1.5倍	-1	0	1	1	
893	893	1000	FabaoDaoju_5							0	-1	-1	0	0		大明目丹：暗器获得经验变成2倍	-1	0	1	1	
894	894	1000	Buff8_2				g01_buff32		身体受击点	0	1	1	0	0		诅咒：持续掉血	-1	0	1	1	
895	895	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变青		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
896	896	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变紫		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
897	897	3000	PetSkill5_8							0	0	0	0	0		洞察之眼：钱庄小偷的克星	-1	0	1	1	
898	898	1500	Buff27_9							1	0	0	0	0		龙吟：命中目标后有几率减少对方玄抗和毒抗各20点，可以将目标的抗性降低至负值	-1	0	1	1	
899	899	1500	Buff27_9							0	0	1	0	0		龙吟：降低玄抗和毒抗各20点	-1	0	1	1	
900	900	1000	Buff5_9				活动BUFF_A01		身体中心点	1	0	0	0	0		秦皇战神：增加人物基础外功攻击和基础内功攻击	-1	0	1	1	
901	655	1000	haiwai1_1				g01_xy_jq_黄金甲_1		脚下光圈点	0	0	0	1	0		夫妻行功心法	-1	0	1	1	
902	902	1000	Buff1_6							0	0	0	1	0		增加：10%血上限	-1	0	1	1	
903	903	1000	Buff1_7							0	0	0	1	0		增加：10%气上限	-1	0	1	1	
904	904	1000	Buff1_8							0	0	0	1	0		增加：15%外功攻击	-1	0	1	1	
905	905	1000	Buff1_9							0	0	0	1	0		增加：15%内功攻击	-1	0	1	1	
906	906	1000	Buff1_10							0	0	0	1	0		增加：15%外功防御	-1	0	1	1	
907	907	1000	TaskTools3_8							0	0	0	1	0		增加：15%内功防御	-1	0	1	1	
908	908	1000	Buff1_6							0	0	0	1	0		增加：11%血上限	-1	0	1	1	
909	909	1000	Buff1_7							0	0	0	1	0		增加：11%气上限	-1	0	1	1	
910	910	1000	Buff1_8							0	0	0	1	0		增加：16%外功攻击	-1	0	1	1	
911	911	1000	Buff1_9							0	0	0	1	0		增加：16%内功攻击	-1	0	1	1	
912	912	1000	Buff1_10							0	0	0	1	0		增加：16%外功防御	-1	0	1	1	
913	913	1000	TaskTools3_8							0	0	0	1	0		增加：16%内功防御	-1	0	1	1	
914	914	1000	Buff1_6							0	0	0	1	0		增加：11%血上限	-1	0	1	1	
915	915	1000	Buff1_7							0	0	0	1	0		增加：11%气上限	-1	0	1	1	
916	916	1000	Buff1_8							0	0	0	1	0		增加：17%外功攻击	-1	0	1	1	
917	917	1000	Buff1_9							0	0	0	1	0		增加：17%内功攻击	-1	0	1	1	
918	918	1000	Buff1_10							0	0	0	1	0		增加：17%外功防御	-1	0	1	1	
919	919	1000	TaskTools3_8							0	0	0	1	0		增加：17%内功防御	-1	0	1	1	
920	920	1000	Buff1_6							0	0	0	1	0		增加：12%血上限	-1	0	1	1	
921	921	1000	Buff1_7							0	0	0	1	0		增加：12%气上限	-1	0	1	1	
922	922	1000	Buff1_8							0	0	0	1	0		增加：18%外功攻击	-1	0	1	1	
923	923	1000	Buff1_9							0	0	0	1	0		增加：18%内功攻击	-1	0	1	1	
924	924	1000	Buff1_10							0	0	0	1	0		增加：18%外功防御	-1	0	1	1	
925	925	1000	TaskTools3_8							0	0	0	1	0		增加：18%内功防御	-1	0	1	1	
926	926	1000	Buff12_2							1	0	0	0	0		参悟典故-起：参悟典故，力量+30，灵气+30	-1	0	1	1	
927	927	1000	Buff12_2							1	0	0	0	0		参悟典故-承：参悟典故，力量+30，灵气+30	-1	0	1	1	
928	928	1000	Buff12_2							1	0	0	0	0		参悟典故-转：参悟典故，力量+30，灵气+30	-1	0	1	1	
929	929	1000	Buff12_2							1	0	0	0	0		参悟典故-合：参悟典故，力量+30，灵气+30	-1	0	1	1	
948	948	1000	MenpaiLiveSkill2_13				hd_自爆buff释放		脚下光圈点	0	0	0	0	0		烈火燎原：BUFF消失后，对5米范围内最多15个怪造成血-50%的效果。	-1	0	1	1	
949	949	6000	Buff11_8				凤凰战旗_背旗		凤凰战旗绑定点	0	0	0	1	0		凤凰战旗，不可传送。隐身、骑乘、死亡后掉落	-1	0	1	1	
950	950	1000	Buff4_16				BOSS传送		脚下光圈点	0	0	0	0	0		传送	-1	0	1	1	
951	951	8850	Buff1_5							0	1	1	0	0		虚弱：所受伤害放大50%	-1	0	1	1	
955	955	1000	PetEquipBuff1_9							0	0	0	1	0		增加连击技能的释放几率	-1	0	1	1	
956	956	1000	PetEquipBuff1_5							0	0	0	1	0		增加猛击技能的释放几率	-1	0	1	1	
957	957	1000	PetEquipBuff1_4							0	0	0	1	0		猛击技能释放时额外增加外功攻击	-1	0	1	1	
958	958	1000	PetEquipBuff1_3							0	0	0	1	0		增加痛击技能的释放几率	-1	0	1	1	
959	959	1000	PetEquipBuff1_8							0	0	0	1	0		增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率	-1	0	1	1	
960	960	1000	PetEquipBuff1_2							0	0	0	1	0		痛击技能释放时额外增加内功攻击	-1	0	1	1	
961	961	1000	PetEquipBuff1_7							0	0	0	1	0		烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击	-1	0	1	1	
962	962	1000	PetEquipBuff1_6							0	0	0	1	0		增加灵动技能对珍兽自己的生效几率	-1	0	1	1	
963	963	1000	PetEquipBuff2_3							0	0	0	1	0		增加灵气技能对玩家的生效几率	-1	0	1	1	
964	964	1000	PetEquipBuff1_1							0	0	0	1	0		增加忠心技能对玩家的生效几率	-1	0	1	1	
965	965	1000	PetEquipBuff1_12							0	0	0	1	0		增加反震技能对目标的生效几率	-1	0	1	1	
966	966	1000	PetEquipBuff1_11							0	0	0	1	0		增加反击技能对目标的生效几率	-1	0	1	1	
967	966	1000	PetEquipBuff1_10							0	0	0	1	0		增加摔绊技能对目标的生效几率	-1	0	1	1	
968	964	1000	PetEquipBuff2_2							0	0	0	1	0		增加破绽技能对目标的生效几率	-1	0	1	1	
969	965	1000	PetEquipBuff2_1							0	0	0	1	0		增加虚弱技能对目标的生效几率	-1	0	1	1	
970	966	1000	PetEquipBuff1_16							0	0	0	1	0		增加打怒技能对目标的生效几率	-1	0	1	1	
971	967	1000	PetEquipBuff1_14							0	0	0	1	0		增加吸气技能对目标的生效几率	-1	0	1	1	
972	968	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变暗红		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
973	969	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变橙		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
974	970	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变粉红		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
975	971	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变黑		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
976	972	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变红		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
977	973	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变黄		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
978	974	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变绿		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
979	975	1000	OtherTools2_15	g01_em_buff1111	interface\sound_shengji.wav	脚下光圈点	新蓝光环_变浅蓝		身体中心点	0	0	0	1	0		天龙光环：增加所有属性	-1	0	1	1	
980	980	6000	Ore2_3							1	0	0	0	0		驾驶蚩尤青龙战车	-1	0	1	1	
981	981	6000	Ore2_3							1	0	0	0	0		驾驶蚩尤白虎战车	-1	0	1	1	
982	982	6000	Ore2_3							1	0	0	0	0		驾驶蚩尤朱雀战车	-1	0	1	1	
983	983	6000	Ore2_3							1	0	0	0	0		驾驶蚩尤玄武战车	-1	0	1	1	
984	984	6000	Ore2_3							1	0	0	0	0		驾驶蚩尤盘古战车	-1	0	1	1	
985	985	6000	Ore2_3							1	0	0	0	0		驾驶炎黄青龙战车	-1	0	1	1	
986	986	6000	Ore2_3							1	0	0	0	0		驾驶炎黄白虎战车	-1	0	1	1	
987	987	6000	Ore2_3							1	0	0	0	0		驾驶炎黄朱雀战车	-1	0	1	1	
988	988	6000	Ore2_3							1	0	0	0	0		驾驶炎黄玄武战车	-1	0	1	1	
989	989	7500	FightSkillGaiBang_3							0	0	0	1	0		免疫减速	-1	0	1	1	
990	990	7500	FightSkillMingJiao1_3				g01_buff18		身体受击点	0	0	0	1	0		免疫散功	-1	0	1	1	
991	991	7500	FightSkillShaoLin2_3	g01_sl_zdo_mingjingtai_01		身体受击点				0	0	0	1	0		免疫失明	-1	0	1	1	
992	993	1000	FightSkillTianShan_9	g01_ts_zdo_renwowuxiang		身体受击点	g01_buff38		头顶状态点	0	1	1	0	0		点穴：封穴，移动不能，操作不能，可被攻击，无法被打醒	-1	0	1	1	
993	993	1000	Ore2_3							1	0	0	0	0		驾驶炎黄盘古战车	-1	0	1	1	
994	994	1000	Buff0_15		Skills\Sl\Sl_金刚伏魔圈_定身.wav		g01_buff27		脚下光圈点	0	1	1	0	0		定身：无法移动并且不能攻击或使用技能	-1	0	1	1	
995	1022	1000	YuanDan1_1				g01_buff_圣诞礼盒01		脚下光圈点	0	0	0	1	0		圣诞快乐	-1	0	1	1	
996	1022	1000	YuanDan1_4				g01_buff_圣诞礼盒02		脚下光圈点	0	0	0	1	0		圣诞快乐	-1	0	1	1	
997	1022	1000	YuanDan1_3				g01_buff_圣诞礼盒03		脚下光圈点	0	0	0	1	0		圣诞快乐	-1	0	1	1	
998	1022	1000	YuanDan1_2				g01_buff_圣诞礼盒04		脚下光圈点	0	0	0	1	0		圣诞快乐	-1	0	1	1	
999	999	7500	Buff4_16							0	0	0	0	0		免疫控制和僵硬	-1	0	1	1	
1000	1000	7500	Buff4_16							0	0	0	0	0		免疫控制	-1	0	1	1	
1001	30	1000	Buff1_4							0	1	1	0	0		破绽：受到火烧赤壁技能攻击的伤害增加	-1	0	1	1	
1002	34	1000	Buff1_5							0	1	1	0	0		虚弱：内功攻击减少	-1	0	1	1	
1003	1003	1000	FightSkillXiaoYao1_5							0	0	1	0	0		蛟龙出水：受到蜃龙乱舞攻击将被定身	-1	0	1	1	
1004	23	1000	Buff1_1	g01_yanggetianjun		身体受击点	g01_buff100		脚下光圈点	0	1	1	0	0		蜃龙乱舞：僵硬，移动速度减慢	-1	0	1	1	
1005	1005	1000	FightSkillXiaoYao1_7							0	0	1	0	0		海市蜃楼：受到蛟龙乱舞攻击伤害增加	-1	0	1	1	
1006	1006	1000	FightSkillMingJiao_15				boss_镜湖水鬼_火烧赤壁		脚下光圈点	0	0	0	0	0		火烧赤壁：自身周围15米范围内所有敌对目标将受到持续的火攻击和破绽效果	-1	0	1	1	
1007	1007	1000	FightSkillGaiBang1_8				boss_镜湖水鬼_蛟龙乱舞		脚下光圈点	0	0	0	0	0		蛟龙乱舞：自身周围5米范围内所有敌对目标将受到持续的火攻击	-1	0	1	1	
1008	1008	1000	FightSkillGaiBang_4				boss_镜湖水鬼_蜃龙乱舞		脚下光圈点	0	0	0	0	0		蜃龙乱舞：自身周围5米范围内所有敌对目标将受到僵硬减速效果和火攻击	-1	0	1	1	
1009	345	1000	PetSkill3_3				cw_rouqiang		头顶状态点	0	0	1	0	0		兽王咆哮：吸引怪物攻击自身	-1	0	1	1	
1010	58	8000	Buff2_8				cw_shixue		身体受击点	0	0	0	1	0		狂暴：会心攻击增加	-1	0	1	1	
1011	25	1000	Buff1_3							0	1	1	0	0		破绽：会心防御降低	-1	0	1	1	
1012	1012	9100	FightSkillMingJiao_9	g01_em_buff1114	interface\sound_shengji.wav	脚下光圈点	g01_dl_中冲剑01		脚下光圈点	0	0	0	1	0		斗转星移：以彼之道，还施彼身	-1	0	1	1	
1013	98	1000	Buff1_5							0	1	1	0	0		僵硬：闪避降低	-1	0	1	1	
1014	1014	8000	Buff2_8				cw_shixue		身体受击点	0	0	0	0	0		狂暴：攻击增加，防御减弱	-1	0	1	1	
1015	1015	1000	PetSkill3_7				cw_shixue蓝		身体受击点	0	0	0	0	0		憨厚：防御增加，攻击减弱	-1	0	1	1	
1016	1016	8000	Buff2_8				cw_shixue		身体受击点	0	0	0	0	0		狂暴：攻击大副提升，防御减弱	-1	0	1	1	
1017	1017	1000	PetSkill3_5				cw_shixue黄		身体受击点	0	0	0	0	0		拼命：会心攻击、命中增加，会心防御、躲避减弱	-1	0	1	1	
1018	1018	1000	PetSkill4_1				cw_shengyou		头顶状态点	0	0	0	1	0		神佑：不会受到伤害	-1	0	1	1	
1019	30	1000	Buff1_4				g01_xy_jq_黄金甲_1		头顶状态点	0	0	0	0	0		破绽百出：被王语嫣指出招式破绽	-1	0	1	1	
1020	25	1000	Buff1_3							0	1	1	0	0		破绽：发功类技能持续时间减少	-1	0	1	1	
1021	1001	7500	Buff4_16							0	0	0	0	0		免疫失明和恐惧效果	-1	0	1	1	
1022	1022	1000	MakeMaterial8_16							0	0	0	0	0		雪人的祝福：增加所有属性各10点	-1	0	1	1	
1023	334	8600	TaskTools3_3							0	0	0	1	0		开宝箱保护：无敌，移动或使用技能后保护即会消失	-1	0	1	1	
1024	1024	1000	Huodong_16							1	0	0	0	0		五一赠礼：BUFF消失后，可在师门掌门人处领取赠礼	-1	0	1	1	
1025	1025	1000	PetChapletBuff1_4							1	0	0	0	0		增加力量和体力	-1	0	1	1	
1026	1026	1000	PetChapletBuff1_10							1	0	0	0	0		增加命中和会心攻击	-1	0	1	1	
1027	1027	1000	PetChapletBuff2_1							1	0	0	0	0		增加力量和身法	-1	0	1	1	
1028	1028	1000	PetChapletBuff1_7							1	0	0	0	0		增加灵气和体力	-1	0	1	1	
1029	1029	1000	PetChapletBuff1_10							1	0	0	0	0		增加命中和会心攻击	-1	0	1	1	
1030	1030	1000	PetChapletBuff2_1							1	0	0	0	0		增加灵气和身法	-1	0	1	1	
1031	1031	1000	PetChapletBuff1_6							1	0	0	0	0		增加体力	-1	0	1	1	
1032	1032	1000	PetChapletBuff2_1							1	0	0	0	0		增加体力和身法	-1	0	1	1	
1033	1033	1000	PetChapletBuff2_1							1	0	0	0	0		增加身法	-1	0	1	1	
1034	1034	1000	PetSkill2_1							1	0	0	0	0		增加所有属性5点	-1	0	1	1	
1035	1035	1000	Buff1_6							0	0	0	1	0		增加：10%血上限，5%气上限	-1	0	1	1	
1036	1036	1000	Buff1_8							0	0	0	1	0		增加：15%外功攻击，5%外功防御	-1	0	1	1	
1037	1037	1000	Buff1_9							0	0	0	1	0		增加：15%内功攻击，5%内功防御	-1	0	1	1	
1038	1038	1000	Buff1_6							0	0	0	1	0		增加：11%血上限，6%气上限	-1	0	1	1	
1039	1039	1000	Buff1_8							0	0	0	1	0		增加：16%外功攻击，6%外功防御	-1	0	1	1	
1040	1040	1000	Buff1_9							0	0	0	1	0		增加：16%内功攻击，6%内功防御	-1	0	1	1	
1041	1041	1000	Buff1_6							0	0	0	1	0		增加：11%血上限，6%气上限	-1	0	1	1	
1042	1042	1000	Buff1_8							0	0	0	1	0		增加：17%外功攻击，6%外功防御	-1	0	1	1	
1043	1043	1000	Buff1_9							0	0	0	1	0		增加：17%内功攻击，6%内功防御	-1	0	1	1	
1044	1044	1000	Buff1_6							0	0	0	1	0		增加：12%血上限，8%气上限	-1	0	1	1	
1045	1045	1000	Buff1_8							0	0	0	1	0		增加：18%外功攻击，8%外功防御	-1	0	1	1	
1046	1046	1000	Buff1_9							0	0	0	1	0		增加：18%内功攻击，8%内功防御	-1	0	1	1	
1047	1047	3000	Buff1_9							0	0	0	1	0		凝力之魂：一定几率提升自己的力量	-1	0	1	1	
1048	1048	3000	Buff1_9				buff_武魂增益		身体受击点	0	0	0	1	0		力量上升	-1	0	1	1	
1049	1049	3000	Buff1_9							0	0	0	1	0		聚灵之魂：一定几率提升自己的灵气	-1	0	1	1	
1050	1050	3000	Buff1_9				buff_武魂增益		身体受击点	0	0	0	1	0		灵力上升	-1	0	1	1	
1051	1051	3000	Buff1_9							0	0	0	1	0		强体之魂：一定几率提升自己的体力	-1	0	1	1	
1052	1052	3000	Buff1_9				buff_武魂增益		身体受击点	0	0	0	1	0		体力上升	-1	0	1	1	
1053	1053	3000	Buff1_9							0	0	0	1	0		固定之魂：一定几率提升自己的定力	-1	0	1	1	
1054	1054	3000	Buff1_9				buff_武魂增益		身体受击点	0	0	0	1	0		定力上升	-1	0	1	1	
1055	1055	3000	Buff1_9							0	0	0	1	0		游身之魂：一定几率提升自己的身法	-1	0	1	1	
1056	1056	3000	Buff1_9				buff_武魂增益		身体受击点	0	0	0	1	0		身法上升	-1	0	1	1	
1057	1057	3000	WuhunSkill2_3							0	0	0	1	0		厉刚之魂：一定几率提升自己的外功攻击	-1	0	1	1	
1058	1058	3000	WuhunSkill2_3				buff_武魂增益		身体受击点	0	0	0	1	0		外功攻击上升	-1	0	1	1	
1059	1059	3000	WuhunSkill2_4							0	0	0	1	0		旋柔之魂：一定几率提升自己的内功攻击	-1	0	1	1	
1060	1060	3000	WuhunSkill2_4				buff_武魂增益		身体受击点	0	0	0	1	0		内功攻击上升	-1	0	1	1	
1061	1061	3000	WuhunSkill2_5							0	0	0	1	0		武韧之魂：一定几率提升自己的外功防御	-1	0	1	1	
1062	1062	3000	WuhunSkill2_5				buff_武魂增益		身体受击点	0	0	0	1	0		外功防御上升	-1	0	1	1	
1063	1063	3000	WuhunSkill2_6							0	0	0	1	0		阴绵之魂：一定几率提升自己的内功防御	-1	0	1	1	
1064	1064	3000	WuhunSkill2_6				buff_武魂增益		身体受击点	0	0	0	1	0		内功防御上升	-1	0	1	1	
1065	1065	3000	WuhunSkill2_7							0	0	0	1	0		星准之魂：一定几率提升自己的命中	-1	0	1	1	
1066	1066	3000	WuhunSkill2_7				buff_武魂增益		身体受击点	0	0	0	1	0		命中上升	-1	0	1	1	
