INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
101	70500126	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500127	1	升级后整套的套装效果将提升为：#G身法+122#W；#G命中+3212#W；#G血上限+4584#W；#G增加打怒技能对目标的生效几率（3星套装效果）#W。
102	70500127	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500128	1	升级后整套的套装效果将提升为：#G身法+164#W；#G命中+4282#W；#G血上限+6112#W；#G增加打怒技能对目标的生效几率（4星套装效果）#W。
103	70500128	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500129	1	升级后整套的套装效果将提升为：#G身法+204#W；#G命中+5352#W；#G血上限+7640#W；#G增加打怒技能对目标的生效几率（5星套装效果）#W。
104	70500130	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70500131	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G身法+82#W；#G血上限+3056#W；#G增加打怒技能对目标的生效几率（2星套装效果）#W。
105	70500131	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70500132	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G身法+122#W；#G血上限+4584#W；#G增加打怒技能对目标的生效几率（3星套装效果）#W。
106	70500132	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70500133	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G身法+164#W；#G血上限+6112#W；#G增加打怒技能对目标的生效几率（4星套装效果）#W。
107	70500133	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70500134	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G身法+204#W；#G血上限+7640#W；#G增加打怒技能对目标的生效几率（5星套装效果）#W。
108	70501000	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501001	0	升级后整套的套装效果将提升为：#G外功攻击+1328#W；#G命中+1718#W；#G力量+66#W；#G猛击技能释放时额外增加外功攻击（2星套装效果）#W。
109	70501001	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501002	1	升级后整套的套装效果将提升为：#G外功攻击+1992#W；#G命中+2576#W；#G力量+98#W；#G猛击技能释放时额外增加外功攻击（3星套装效果）#W。
110	70501002	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501003	1	升级后整套的套装效果将提升为：#G外功攻击+2654#W；#G命中+3434#W；#G力量+132#W；#G猛击技能释放时额外增加外功攻击（4星套装效果）#W。
111	70501003	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501004	1	升级后整套的套装效果将提升为：#G外功攻击+3318#W；#G命中+4292#W；#G力量+164#W；#G猛击技能释放时额外增加外功攻击（5星套装效果）#W。
112	70501005	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501006	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G力量+66#W；#G增加摔绊技能对目标的生效几率（2星套装效果）#W。
113	70501006	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501007	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G力量+98#W；#G增加摔绊技能对目标的生效几率（3星套装效果）#W。
114	70501007	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501008	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G力量+132#W；#G增加摔绊技能对目标的生效几率（4星套装效果）#W。
115	70501008	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501009	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G力量+164#W；#G增加摔绊技能对目标的生效几率（5星套装效果）#W。
116	70501010	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501011	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G力量+66#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
117	70501011	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501012	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G力量+98#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
118	70501012	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501013	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G力量+132#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
119	70501013	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501014	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G力量+164#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
120	70501015	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501016	0	升级后整套的套装效果将提升为：#G内功攻击+1328#W；#G命中+1718#W；#G灵气+66#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（2星套装效果）#W。
121	70501016	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501017	1	升级后整套的套装效果将提升为：#G内功攻击+1992#W；#G命中+2576#W；#G灵气+98#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（3星套装效果）#W。
122	70501017	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501018	1	升级后整套的套装效果将提升为：#G内功攻击+2654#W；#G命中+3434#W；#G灵气+132#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（4星套装效果）#W。
123	70501018	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501019	1	升级后整套的套装效果将提升为：#G内功攻击+3318#W；#G命中+4292#W；#G灵气+164#W；#G烈火咒、玄雷咒、血毒咒、寒冰咒释放时额外增加对应的属性攻击（5星套装效果）#W。
124	70501020	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501021	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G灵气+66#W；#G增加摔绊技能对目标的生效几率（2星套装效果）#W。
125	70501021	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501022	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G灵气+98#W；#G增加摔绊技能对目标的生效几率（3星套装效果）#W。
126	70501022	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501023	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G灵气+132#W；#G增加摔绊技能对目标的生效几率（4星套装效果）#W。
127	70501023	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501024	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G灵气+164#W；#G增加摔绊技能对目标的生效几率（5星套装效果）#W。
128	70501025	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501026	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G血上限+2434#W；#G灵气+66#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
129	70501026	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501027	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G血上限+3650#W；#G灵气+98#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
130	70501027	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501028	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G血上限+4868#W；#G灵气+132#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
131	70501028	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501029	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G血上限+6084#W；#G灵气+164#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
132	70501030	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501031	0	升级后整套的套装效果将提升为：#G外功防御+1312#W；#G内功防御+1312#W；#G血上限+2434#W；#G增加灵动技能对珍兽自己的生效几率（2星套装效果）#W。
133	70501031	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501032	1	升级后整套的套装效果将提升为：#G外功防御+1966#W；#G内功防御+1966#W；#G血上限+3650#W；#G增加灵动技能对珍兽自己的生效几率（3星套装效果）#W。
134	70501032	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501033	1	升级后整套的套装效果将提升为：#G外功防御+2622#W；#G内功防御+2622#W；#G血上限+4868#W；#G增加灵动技能对珍兽自己的生效几率（4星套装效果）#W。
135	70501033	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501034	1	升级后整套的套装效果将提升为：#G外功防御+3276#W；#G内功防御+3276#W；#G血上限+6084#W；#G增加灵动技能对珍兽自己的生效几率（5星套装效果）#W。
136	70501035	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501036	0	升级后整套的套装效果将提升为：#G身法+66#W；#G命中+1718#W；#G血上限+2434#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
137	70501036	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501037	1	升级后整套的套装效果将提升为：#G身法+98#W；#G命中+2576#W；#G血上限+3650#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
138	70501037	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501038	1	升级后整套的套装效果将提升为：#G身法+132#W；#G命中+3434#W；#G血上限+4868#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
139	70501038	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501039	1	升级后整套的套装效果将提升为：#G身法+164#W；#G命中+4292#W；#G血上限+6084#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
140	70501040	20301009	3	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501041	0	升级后整套的套装效果将提升为：#G命中+1718#W；#G身法+66#W；#G血上限+2434#W；#G增加虚弱技能对目标的生效几率（2星套装效果）#W。
141	70501041	20301009	5	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501042	1	升级后整套的套装效果将提升为：#G命中+2576#W；#G身法+98#W；#G血上限+3650#W；#G增加虚弱技能对目标的生效几率（3星套装效果）#W。
142	70501042	20301009	7	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501043	1	升级后整套的套装效果将提升为：#G命中+3434#W；#G身法+132#W；#G血上限+4868#W；#G增加虚弱技能对目标的生效几率（4星套装效果）#W。
143	70501043	20301009	11	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501044	1	升级后整套的套装效果将提升为：#G命中+4292#W；#G身法+164#W；#G血上限+6084#W；#G增加虚弱技能对目标的生效几率（5星套装效果）#W。
144	70501045	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501046	0	升级后整套的套装效果将提升为：#G外功攻击+1496#W；#G命中+1930#W；#G力量+74#W；#G增加猛击技能的释放几率（2星套装效果）#W。
145	70501046	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501047	1	升级后整套的套装效果将提升为：#G外功攻击+2244#W；#G命中+2894#W；#G力量+110#W；#G增加猛击技能的释放几率（3星套装效果）#W。
146	70501047	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501048	1	升级后整套的套装效果将提升为：#G外功攻击+2990#W；#G命中+3858#W；#G力量+148#W；#G增加猛击技能的释放几率（4星套装效果）#W。
147	70501048	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501049	1	升级后整套的套装效果将提升为：#G外功攻击+3738#W；#G命中+4822#W；#G力量+184#W；#G增加猛击技能的释放几率（5星套装效果）#W。
148	70501050	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501051	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G力量+74#W；#G增加反震技能对目标的生效几率（2星套装效果）#W。
149	70501051	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501052	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G力量+110#W；#G增加反震技能对目标的生效几率（3星套装效果）#W。
150	70501052	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501053	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G力量+148#W；#G增加反震技能对目标的生效几率（4星套装效果）#W。
151	70501053	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501054	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G力量+184#W；#G增加反震技能对目标的生效几率（5星套装效果）#W。
152	70501055	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501056	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G力量+74#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
153	70501056	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501057	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G力量+110#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
154	70501057	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501058	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G力量+148#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
155	70501058	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501059	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G力量+184#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
156	70501060	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501061	0	升级后整套的套装效果将提升为：#G内功攻击+1496#W；#G命中+1930#W；#G灵气+74#W；#G痛击技能释放时额外增加内功攻击（2星套装效果）#W。
157	70501061	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501062	1	升级后整套的套装效果将提升为：#G内功攻击+2244#W；#G命中+2894#W；#G灵气+110#W；#G痛击技能释放时额外增加内功攻击（3星套装效果）#W。
158	70501062	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501063	1	升级后整套的套装效果将提升为：#G内功攻击+2990#W；#G命中+3858#W；#G灵气+148#W；#G痛击技能释放时额外增加内功攻击（4星套装效果）#W。
159	70501063	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501064	1	升级后整套的套装效果将提升为：#G内功攻击+3738#W；#G命中+4822#W；#G灵气+184#W；#G痛击技能释放时额外增加内功攻击（5星套装效果）#W。
160	70501065	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501066	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G灵气+74#W；#G增加反震技能对目标的生效几率（2星套装效果）#W。
161	70501066	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501067	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G灵气+110#W；#G增加反震技能对目标的生效几率（3星套装效果）#W。
162	70501067	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501068	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G灵气+148#W；#G增加反震技能对目标的生效几率（4星套装效果）#W。
163	70501068	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501069	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G灵气+184#W；#G增加反震技能对目标的生效几率（5星套装效果）#W。
164	70501070	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501071	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G血上限+2746#W；#G灵气+74#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
165	70501071	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501072	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G血上限+4118#W；#G灵气+110#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
166	70501072	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501073	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G血上限+5490#W；#G灵气+148#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
167	70501073	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501074	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G血上限+6862#W；#G灵气+184#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
168	70501075	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501076	0	升级后整套的套装效果将提升为：#G外功防御+1476#W；#G内功防御+1476#W；#G血上限+2746#W；#G增加忠心技能对玩家的生效几率（2星套装效果）#W。
169	70501076	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501077	1	升级后整套的套装效果将提升为：#G外功防御+2214#W；#G内功防御+2214#W；#G血上限+4118#W；#G增加忠心技能对玩家的生效几率（3星套装效果）#W。
170	70501077	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501078	1	升级后整套的套装效果将提升为：#G外功防御+2952#W；#G内功防御+2952#W；#G血上限+5490#W；#G增加忠心技能对玩家的生效几率（4星套装效果）#W。
171	70501078	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501079	1	升级后整套的套装效果将提升为：#G外功防御+3690#W；#G内功防御+3690#W；#G血上限+6862#W；#G增加忠心技能对玩家的生效几率（5星套装效果）#W。
172	70501080	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501081	0	升级后整套的套装效果将提升为：#G身法+74#W；#G命中+1930#W；#G血上限+2746#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
173	70501081	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501082	1	升级后整套的套装效果将提升为：#G身法+110#W；#G命中+2894#W；#G血上限+4118#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
174	70501082	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501083	1	升级后整套的套装效果将提升为：#G身法+148#W；#G命中+3858#W；#G血上限+5490#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
175	70501083	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501084	1	升级后整套的套装效果将提升为：#G身法+184#W；#G命中+4822#W；#G血上限+6862#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
176	70501085	20301009	16	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501086	0	升级后整套的套装效果将提升为：#G命中+1930#W；#G身法+74#W；#G血上限+2746#W；#G增加吸气技能对目标的生效几率（2星套装效果）#W。
177	70501086	20301009	18	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501087	1	升级后整套的套装效果将提升为：#G命中+2894#W；#G身法+110#W；#G血上限+4118#W；#G增加吸气技能对目标的生效几率（3星套装效果）#W。
178	70501087	20301009	20	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501088	1	升级后整套的套装效果将提升为：#G命中+3858#W；#G身法+148#W；#G血上限+5490#W；#G增加吸气技能对目标的生效几率（4星套装效果）#W。
179	70501088	20301009	24	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501089	1	升级后整套的套装效果将提升为：#G命中+4822#W；#G身法+184#W；#G血上限+6862#W；#G增加吸气技能对目标的生效几率（5星套装效果）#W。
180	70501090	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501091	0	升级后整套的套装效果将提升为：#G外功攻击+1664#W；#G命中+2142#W；#G力量+82#W；#G增加连击技能的释放几率（2星套装效果）#W。
181	70501091	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501092	1	升级后整套的套装效果将提升为：#G外功攻击+2496#W；#G命中+3212#W；#G力量+122#W；#G增加连击技能的释放几率（3星套装效果）#W。
182	70501092	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501093	1	升级后整套的套装效果将提升为：#G外功攻击+3326#W；#G命中+4282#W；#G力量+164#W；#G增加连击技能的释放几率（4星套装效果）#W。
183	70501093	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501094	1	升级后整套的套装效果将提升为：#G外功攻击+4158#W；#G命中+5352#W；#G力量+204#W；#G增加连击技能的释放几率（5星套装效果）#W。
184	70501095	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501096	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G力量+82#W；#G增加反击技能对目标的生效几率（2星套装效果）#W。
185	70501096	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501097	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G力量+122#W；#G增加反击技能对目标的生效几率（3星套装效果）#W。
186	70501097	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501098	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G力量+164#W；#G增加反击技能对目标的生效几率（4星套装效果）#W。
187	70501098	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501099	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G力量+204#W；#G增加反击技能对目标的生效几率（5星套装效果）#W。
188	70501100	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501101	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G力量+82#W；#G增加打怒技能对目标的生效几率（2星套装效果）#W。
189	70501101	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501102	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G力量+122#W；#G增加打怒技能对目标的生效几率（3星套装效果）#W。
190	70501102	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501103	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G力量+164#W；#G增加打怒技能对目标的生效几率（4星套装效果）#W。
191	70501103	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501104	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G力量+204#W；#G增加打怒技能对目标的生效几率（5星套装效果）#W。
192	70501105	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501106	0	升级后整套的套装效果将提升为：#G内功攻击+1664#W；#G命中+2142#W；#G灵气+82#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（2星套装效果）#W。
193	70501106	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501107	1	升级后整套的套装效果将提升为：#G内功攻击+2496#W；#G命中+3212#W；#G灵气+122#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（3星套装效果）#W。
194	70501107	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501108	1	升级后整套的套装效果将提升为：#G内功攻击+3326#W；#G命中+4282#W；#G灵气+164#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（4星套装效果）#W。
195	70501108	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501109	1	升级后整套的套装效果将提升为：#G内功攻击+4158#W；#G命中+5352#W；#G灵气+204#W；#G增加烈火咒、玄雷咒、血毒咒、寒冰咒技能的释放几率（5星套装效果）#W。
196	70501110	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501111	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G灵气+82#W；#G增加反击技能对目标的生效几率（2星套装效果）#W。
197	70501111	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501112	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G灵气+122#W；#G增加反击技能对目标的生效几率（3星套装效果）#W。
198	70501112	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501113	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G灵气+164#W；#G增加反击技能对目标的生效几率（4星套装效果）#W。
199	70501113	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501114	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G灵气+204#W；#G增加反击技能对目标的生效几率（5星套装效果）#W。
200	70501115	20301009	36	-1	-1	-1	-1	100	10000	-1	-1	-1	-1	-1	-1	100	10000	70501116	0	升级后整套的套装效果将提升为：#G命中+2142#W；#G血上限+3056#W；#G灵气+82#W；#G增加打怒技能对目标的生效几率（2星套装效果）#W。
201	70501116	20301009	43	-1	-1	-1	-1	100	20000	-1	-1	-1	-1	-1	-1	100	20000	70501117	1	升级后整套的套装效果将提升为：#G命中+3212#W；#G血上限+4584#W；#G灵气+122#W；#G增加打怒技能对目标的生效几率（3星套装效果）#W。
202	70501117	20301009	50	-1	-1	-1	-1	100	30000	-1	-1	-1	-1	-1	-1	100	30000	70501118	1	升级后整套的套装效果将提升为：#G命中+4282#W；#G血上限+6112#W；#G灵气+164#W；#G增加打怒技能对目标的生效几率（4星套装效果）#W。
203	70501118	20301009	56	-1	-1	-1	-1	100	40000	-1	-1	-1	-1	-1	-1	100	40000	70501119	1	升级后整套的套装效果将提升为：#G命中+5352#W；#G血上限+7640#W；#G灵气+204#W；#G增加打怒技能对目标的生效几率（5星套装效果）#W。
