INT	INT	STRING	INT	INT	INT
416	1317	制作90级7星阿旭护符毒	21000039	-1	10123063
417	1318	制作60级8星门派阿旭护符冰少林	21000040	0	10123064
418	1319	制作70级8星门派阿旭护符冰少林	21000040	0	10123065
419	1320	制作80级8星门派阿旭护符冰少林	21000040	0	10123066
420	1321	制作90级8星门派阿旭护符冰少林	21000040	0	10123067
421	1318	制作60级8星门派阿旭护符火少林	21000041	0	10123068
422	1319	制作70级8星门派阿旭护符火少林	21000041	0	10123069
423	1320	制作80级8星门派阿旭护符火少林	21000041	0	10123070
424	1321	制作90级8星门派阿旭护符火少林	21000041	0	10123071
425	1318	制作60级8星门派阿旭护符玄少林	21000042	0	10123072
426	1319	制作70级8星门派阿旭护符玄少林	21000042	0	10123073
427	1320	制作80级8星门派阿旭护符玄少林	21000042	0	10123074
428	1321	制作90级8星门派阿旭护符玄少林	21000042	0	10123075
429	1318	制作60级8星门派阿旭护符毒少林	21000043	0	10123076
430	1319	制作70级8星门派阿旭护符毒少林	21000043	0	10123077
431	1320	制作80级8星门派阿旭护符毒少林	21000043	0	10123078
432	1321	制作90级8星门派阿旭护符毒少林	21000043	0	10123079
433	1318	制作60级8星门派阿旭护符冰明教	21000040	1	10123080
434	1319	制作70级8星门派阿旭护符冰明教	21000040	1	10123081
435	1320	制作80级8星门派阿旭护符冰明教	21000040	1	10123082
436	1321	制作90级8星门派阿旭护符冰明教	21000040	1	10123083
437	1318	制作60级8星门派阿旭护符火明教	21000041	1	10123084
438	1319	制作70级8星门派阿旭护符火明教	21000041	1	10123085
439	1320	制作80级8星门派阿旭护符火明教	21000041	1	10123086
440	1321	制作90级8星门派阿旭护符火明教	21000041	1	10123087
441	1318	制作60级8星门派阿旭护符玄明教	21000042	1	10123088
442	1319	制作70级8星门派阿旭护符玄明教	21000042	1	10123089
443	1320	制作80级8星门派阿旭护符玄明教	21000042	1	10123090
444	1321	制作90级8星门派阿旭护符玄明教	21000042	1	10123091
445	1318	制作60级8星门派阿旭护符毒明教	21000043	1	10123092
446	1319	制作70级8星门派阿旭护符毒明教	21000043	1	10123093
447	1320	制作80级8星门派阿旭护符毒明教	21000043	1	10123094
448	1321	制作90级8星门派阿旭护符毒明教	21000043	1	10123095
449	1318	制作60级8星门派阿旭护符冰丐帮	21000040	2	10123096
450	1319	制作70级8星门派阿旭护符冰丐帮	21000040	2	10123097
451	1320	制作80级8星门派阿旭护符冰丐帮	21000040	2	10123098
452	1321	制作90级8星门派阿旭护符冰丐帮	21000040	2	10123099
453	1318	制作60级8星门派阿旭护符火丐帮	21000041	2	10123100
454	1319	制作70级8星门派阿旭护符火丐帮	21000041	2	10123101
455	1320	制作80级8星门派阿旭护符火丐帮	21000041	2	10123102
456	1321	制作90级8星门派阿旭护符火丐帮	21000041	2	10123103
457	1318	制作60级8星门派阿旭护符玄丐帮	21000042	2	10123104
458	1319	制作70级8星门派阿旭护符玄丐帮	21000042	2	10123105
459	1320	制作80级8星门派阿旭护符玄丐帮	21000042	2	10123106
460	1321	制作90级8星门派阿旭护符玄丐帮	21000042	2	10123107
461	1318	制作60级8星门派阿旭护符毒丐帮	21000043	2	10123108
462	1319	制作70级8星门派阿旭护符毒丐帮	21000043	2	10123109
463	1320	制作80级8星门派阿旭护符毒丐帮	21000043	2	10123110
464	1321	制作90级8星门派阿旭护符毒丐帮	21000043	2	10123111
465	1318	制作60级8星门派阿旭护符冰武当	21000040	3	10123112
466	1319	制作70级8星门派阿旭护符冰武当	21000040	3	10123113
467	1320	制作80级8星门派阿旭护符冰武当	21000040	3	10123114
468	1321	制作90级8星门派阿旭护符冰武当	21000040	3	10123115
469	1318	制作60级8星门派阿旭护符火武当	21000041	3	10123116
470	1319	制作70级8星门派阿旭护符火武当	21000041	3	10123117
471	1320	制作80级8星门派阿旭护符火武当	21000041	3	10123118
472	1321	制作90级8星门派阿旭护符火武当	21000041	3	10123119
473	1318	制作60级8星门派阿旭护符玄武当	21000042	3	10123120
474	1319	制作70级8星门派阿旭护符玄武当	21000042	3	10123121
475	1320	制作80级8星门派阿旭护符玄武当	21000042	3	10123122
476	1321	制作90级8星门派阿旭护符玄武当	21000042	3	10123123
477	1318	制作60级8星门派阿旭护符毒武当	21000043	3	10123124
478	1319	制作70级8星门派阿旭护符毒武当	21000043	3	10123125
479	1320	制作80级8星门派阿旭护符毒武当	21000043	3	10123126
480	1321	制作90级8星门派阿旭护符毒武当	21000043	3	10123127
481	1318	制作60级8星门派阿旭护符冰峨嵋	21000040	4	10123128
482	1319	制作70级8星门派阿旭护符冰峨嵋	21000040	4	10123129
483	1320	制作80级8星门派阿旭护符冰峨嵋	21000040	4	10123130
484	1321	制作90级8星门派阿旭护符冰峨嵋	21000040	4	10123131
485	1318	制作60级8星门派阿旭护符火峨嵋	21000041	4	10123132
486	1319	制作70级8星门派阿旭护符火峨嵋	21000041	4	10123133
487	1320	制作80级8星门派阿旭护符火峨嵋	21000041	4	10123134
488	1321	制作90级8星门派阿旭护符火峨嵋	21000041	4	10123135
489	1318	制作60级8星门派阿旭护符玄峨嵋	21000042	4	10123136
490	1319	制作70级8星门派阿旭护符玄峨嵋	21000042	4	10123137
491	1320	制作80级8星门派阿旭护符玄峨嵋	21000042	4	10123138
492	1321	制作90级8星门派阿旭护符玄峨嵋	21000042	4	10123139
493	1318	制作60级8星门派阿旭护符毒峨嵋	21000043	4	10123140
494	1319	制作70级8星门派阿旭护符毒峨嵋	21000043	4	10123141
495	1320	制作80级8星门派阿旭护符毒峨嵋	21000043	4	10123142
496	1321	制作90级8星门派阿旭护符毒峨嵋	21000043	4	10123143
497	1318	制作60级8星门派阿旭护符冰星宿	21000040	5	10123144
498	1319	制作70级8星门派阿旭护符冰星宿	21000040	5	10123145
499	1320	制作80级8星门派阿旭护符冰星宿	21000040	5	10123146
500	1321	制作90级8星门派阿旭护符冰星宿	21000040	5	10123147
501	1318	制作60级8星门派阿旭护符火星宿	21000041	5	10123148
502	1319	制作70级8星门派阿旭护符火星宿	21000041	5	10123149
503	1320	制作80级8星门派阿旭护符火星宿	21000041	5	10123150
504	1321	制作90级8星门派阿旭护符火星宿	21000041	5	10123151
505	1318	制作60级8星门派阿旭护符玄星宿	21000042	5	10123152
506	1319	制作70级8星门派阿旭护符玄星宿	21000042	5	10123153
507	1320	制作80级8星门派阿旭护符玄星宿	21000042	5	10123154
508	1321	制作90级8星门派阿旭护符玄星宿	21000042	5	10123155
509	1318	制作60级8星门派阿旭护符毒星宿	21000043	5	10123156
510	1319	制作70级8星门派阿旭护符毒星宿	21000043	5	10123157
511	1320	制作80级8星门派阿旭护符毒星宿	21000043	5	10123158
512	1321	制作90级8星门派阿旭护符毒星宿	21000043	5	10123159
513	1318	制作60级8星门派阿旭护符冰大理	21000040	6	10123160
514	1319	制作70级8星门派阿旭护符冰大理	21000040	6	10123161
515	1320	制作80级8星门派阿旭护符冰大理	21000040	6	10123162
516	1321	制作90级8星门派阿旭护符冰大理	21000040	6	10123163
517	1318	制作60级8星门派阿旭护符火大理	21000041	6	10123164
518	1319	制作70级8星门派阿旭护符火大理	21000041	6	10123165
519	1320	制作80级8星门派阿旭护符火大理	21000041	6	10123166
520	1321	制作90级8星门派阿旭护符火大理	21000041	6	10123167
521	1318	制作60级8星门派阿旭护符玄大理	21000042	6	10123168
522	1319	制作70级8星门派阿旭护符玄大理	21000042	6	10123169
523	1320	制作80级8星门派阿旭护符玄大理	21000042	6	10123170
524	1321	制作90级8星门派阿旭护符玄大理	21000042	6	10123171
525	1318	制作60级8星门派阿旭护符毒大理	21000043	6	10123172
526	1319	制作70级8星门派阿旭护符毒大理	21000043	6	10123173
527	1320	制作80级8星门派阿旭护符毒大理	21000043	6	10123174
528	1321	制作90级8星门派阿旭护符毒大理	21000043	6	10123175
529	1318	制作60级8星门派阿旭护符冰天山	21000040	7	10123176
530	1319	制作70级8星门派阿旭护符冰天山	21000040	7	10123177
531	1320	制作80级8星门派阿旭护符冰天山	21000040	7	10123178
532	1321	制作90级8星门派阿旭护符冰天山	21000040	7	10123179
533	1318	制作60级8星门派阿旭护符火天山	21000041	7	10123180
534	1319	制作70级8星门派阿旭护符火天山	21000041	7	10123181
535	1320	制作80级8星门派阿旭护符火天山	21000041	7	10123182
536	1321	制作90级8星门派阿旭护符火天山	21000041	7	10123183
537	1318	制作60级8星门派阿旭护符玄天山	21000042	7	10123184
538	1319	制作70级8星门派阿旭护符玄天山	21000042	7	10123185
539	1320	制作80级8星门派阿旭护符玄天山	21000042	7	10123186
540	1321	制作90级8星门派阿旭护符玄天山	21000042	7	10123187
541	1318	制作60级8星门派阿旭护符毒天山	21000043	7	10123188
542	1319	制作70级8星门派阿旭护符毒天山	21000043	7	10123189
543	1320	制作80级8星门派阿旭护符毒天山	21000043	7	10123190
544	1321	制作90级8星门派阿旭护符毒天山	21000043	7	10123191
545	1318	制作60级8星门派阿旭护符冰逍遥	21000040	8	10123192
546	1319	制作70级8星门派阿旭护符冰逍遥	21000040	8	10123193
547	1320	制作80级8星门派阿旭护符冰逍遥	21000040	8	10123194
548	1321	制作90级8星门派阿旭护符冰逍遥	21000040	8	10123195
549	1318	制作60级8星门派阿旭护符火逍遥	21000041	8	10123196
550	1319	制作70级8星门派阿旭护符火逍遥	21000041	8	10123197
551	1320	制作80级8星门派阿旭护符火逍遥	21000041	8	10123198
552	1321	制作90级8星门派阿旭护符火逍遥	21000041	8	10123199
553	1318	制作60级8星门派阿旭护符玄逍遥	21000042	8	10123200
554	1319	制作70级8星门派阿旭护符玄逍遥	21000042	8	10123201
555	1320	制作80级8星门派阿旭护符玄逍遥	21000042	8	10123202
556	1321	制作90级8星门派阿旭护符玄逍遥	21000042	8	10123203
557	1318	制作60级8星门派阿旭护符毒逍遥	21000043	8	10123204
558	1319	制作70级8星门派阿旭护符毒逍遥	21000043	8	10123205
559	1320	制作80级8星门派阿旭护符毒逍遥	21000043	8	10123206
560	1321	制作90级8星门派阿旭护符毒逍遥	21000043	8	10123207
561	1318	制作60级8星门派阿旭护符冰曼陀	21000040	10	10123208
562	1319	制作70级8星门派阿旭护符冰曼陀	21000040	10	10123209
563	1320	制作80级8星门派阿旭护符冰曼陀	21000040	10	10123210
564	1321	制作90级8星门派阿旭护符冰曼陀	21000040	10	10123211
565	1318	制作60级8星门派阿旭护符火曼陀	21000041	10	10123212
566	1319	制作70级8星门派阿旭护符火曼陀	21000041	10	10123213
567	1320	制作80级8星门派阿旭护符火曼陀	21000041	10	10123214
568	1321	制作90级8星门派阿旭护符火曼陀	21000041	10	10123215
569	1318	制作60级8星门派阿旭护符玄曼陀	21000042	10	10123216
570	1319	制作70级8星门派阿旭护符玄曼陀	21000042	10	10123217
571	1320	制作80级8星门派阿旭护符玄曼陀	21000042	10	10123218
572	1321	制作90级8星门派阿旭护符玄曼陀	21000042	10	10123219
573	1318	制作60级8星门派阿旭护符毒曼陀	21000043	10	10123220
574	1319	制作70级8星门派阿旭护符毒曼陀	21000043	10	10123221
575	1320	制作80级8星门派阿旭护符毒曼陀	21000043	10	10123222
576	1321	制作90级8星门派阿旭护符毒曼陀	21000043	10	10123223
577	1358	定位符	30501029	-1	30501043
578	1358	定位符	30501030	-1	30501044
579	1358	定位符	30501031	-1	30501045
580	1358	定位符	30501032	-1	30501046
581	1358	定位符	30501033	-1	30501047
582	1358	定位符	30501034	-1	30501048
583	1367	奇闻小喇叭	30505107	-1	38003171
584	1367	奇闻小喇叭	30505219	-1	38003171
