INT	INT	INT	INT	INT	INT	INT	INT	STRING
10157107	2	5	37	7	-1	0	5	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157108	3	0	0	3830	-1	0	0	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157109	3	0	59	612	58	612	1	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157110	3	0	61	612	60	612	2	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157111	3	0	62	760	-1	0	3	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157112	3	0	63	254	-1	0	4	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157113	3	0	37	10	-1	0	5	#r#Y【流光灵武】#W#r#G3件：血上限增加；#r6件：获得技能：#r流光飞影：使用第一本心法第一个技能攻击5米内目标时，有概率触发：使自身移动速度增加，且免疫减速，持续8秒，触发期间不再重复触发。（曼陀山庄广陵散状态下，触发概率降低）
10157114	3	1	0	3830	-1	0	0	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157115	3	1	59	612	58	612	1	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157116	3	1	61	612	60	612	2	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157117	3	1	62	760	-1	0	3	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157118	3	1	63	254	-1	0	4	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157119	3	1	37	10	-1	0	5	#r#Y【暮雨灵武】#W#r#G3件：所有属性攻击增加；#r6件：获得技能：#r暮雨留春：使用后，命中目标后有概率吸取所造成伤害的部分血量给自身，持续10秒，冷却时间100秒。（目标为怪物时，吸取量降低）
10157120	3	2	0	3830	-1	0	0	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157121	3	2	59	612	58	612	1	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157122	3	2	61	612	60	612	2	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157123	3	2	62	760	-1	0	3	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157124	3	2	63	254	-1	0	4	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157125	3	2	37	10	-1	0	5	#r#Y【星辉灵武】#W#r#G3件：会心增加；#r6件：获得技能：#r星辉缠夜：使用后，使用第一本心法第一个技能命中目标并对目标造成会心一击时，有概率使目标麻痹1秒，状态持续10秒，冷却时间120秒。（曼陀山庄广陵散状态下，触发概率降低）
10157126	3	3	0	3830	-1	0	0	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157127	3	3	59	612	58	612	1	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157128	3	3	61	612	60	612	2	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157129	3	3	62	760	-1	0	3	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157130	3	3	63	254	-1	0	4	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157131	3	3	37	10	-1	0	5	#r#Y【轻风灵武】#W#r#G3件：闪避增加；#r6件：获得技能：#r轻风净云：使用后，受到伤害时，减少受到的伤害，持续8秒，冷却时间120秒。
10157132	3	4	0	3830	-1	0	0	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157133	3	4	59	612	58	612	1	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157134	3	4	61	612	60	612	2	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157135	3	4	62	760	-1	0	3	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157136	3	4	63	254	-1	0	4	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157137	3	4	37	10	-1	0	5	#r#Y【夜雪灵武】#W#r#G3件：命中增加；#r6件：获得技能：#r夜雪折竹：对麻痹、失明、散功、封穴、封印、眩晕的目标造成的伤害提高。
10157138	3	5	0	3830	-1	0	0	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157139	3	5	59	612	58	612	1	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157140	3	5	61	612	60	612	2	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157141	3	5	62	760	-1	0	3	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157142	3	5	63	254	-1	0	4	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
10157143	3	5	37	10	-1	0	5	#r#Y【御雷灵武】#W#r#G3件：所有属性增加；#r6件：获得技能：#r御雷拥雨：对附近小队友方目标使用，可冲锋至目标身边，同时给自身和目标各释放一个护盾，护盾吸收部分伤害，持续3秒。冷却时间120秒。
