INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标$1$	任务描述3$1$	任务描述4$1$	任务描述5$1$	接受任务场景ID	接受任务NpcName$1$	接受任务NpcGuid	完成任务场景ID	完成任务NpcName$1$	完成任务NpcGuid	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	击杀种类数（最多5）	怪物名称1$1$	是否寻找随机物品	掉落物品1	掉落概率1	掉落数量1	怪物名称2$1$	怪物标志2	掉落物品2	掉落概率2	掉落数量2	怪物名称3$1$	怪物标志3	掉落物品3	掉落概率3	掉落数量3	怪物名称4$1$	怪物标志4	掉落物品4	掉落概率4	掉落数量4	怪物名称5$1$	怪物标志5	掉落物品5	掉落概率5	掉落数量5	金钱奖励	交子奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	个数1	固定物品奖励2	个数2	固定物品奖励3	个数3	固定物品奖励4	个数4	固定物品奖励5	个数5	可选物品奖励1	个数1	可选物品奖励2	个数2	可选物品奖励3	个数3	可选物品奖励4	个数4	可选物品奖励5	个数5	隐藏奖励物品1	个数1	隐藏奖励物品2	个数2	隐藏奖励物品3	个数3	后续任务INDEX	预留	预留	预留
1030201	694	46	0	1	0	0	246	151	显影药	#{MIS_TAR_ADD_594}	#{Mis_L_Qiongzhou_1030201}	#{RW_20080321_420}	#{RW_20080321_423}	35	凌忆慈	0	35	凌忆慈	0	92	693	-1	-1	2		0	20103010	0	5		0	20101022	0	5		0	0	0	0		0	0	0	0		0	0	0	0	36000	0	36000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010201	6	-1	-1	
1030202	698	46	0	1	0	0	256	242	玄武门之变	#{MIS_TAR_ADD_596}	#{Mis_L_Qiongzhou_1030202}	#{RW_20080321_421}	#{RW_20080321_424}	35	岳老三	0	35	岳老三	0	94	696	697	-1	1	裘老七	0	40002081	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	70000	0	80000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10400071	1	10401069	1	10403070	1	10402071	1	10406940	1	0	0	0	0	0	0	0	6	-1	-1	
1030210	571	34	0	1	0	0	163	191	温暖的呼吸	#{MIS_TAR_ADD_600}	#{Mis_L_Huanglong_1030210}	#{RW_20080321_425}	#{RW_20080321_427}	23	拓跋文	0	23	拓跋文	0	98	-1	-1	-1	1	雪山狼	0	40002083	20	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	24000	0	82000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10412079	1	10422120	1	10420079	1	0	0	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030211	578	34	0	1	0	0	166	204	痛苦的爆发	#{MIS_TAR_ADD_602}	#{Mis_L_Huanglong_1030211}	#{RW_20080321_426}	#{RW_20080321_428}	23	符夕颜	0	23	符夕颜	0	98	577	-1	-1	1	霍斯	0	40002105	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	100000	0	100000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	10400073	1	10404070	1	10403071	1	10406981	1	0	0	0	0	0	0	0	0	0	6	-1	-1	
1030220	919	26	0	1	0	0	217	255	子午针灸经	杀死#R龙井水贼#W，得到30页#Y子午针灸经残页#W，把它们交给#G大理城修文台#W的#R王韶#W#{_INFOAIM217,255,2,王韶}。#G西湖苏堤#W东边就有很多的龙井水贼#{_INFOAIM251,228,30,-1}。	#{emei_skill_mis_02}	#{RW_20080321_429}	#{RW_20080321_430}	2	王韶	0	2	王韶	0	20	918	-1	-1	1	龙井水贼	0	40002165	75	30		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	2000	0	1000	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010241	4	4	-1	
1030221	945	28	0	1	0	0	217	255	戎马倥偬	#{MIS_TAR_ADD_603}	#{mission_tianshan_skill_001}	#{RW_20080321_431}	#{RW_20080321_432}	2	王韶	0	2	王韶	0	30	944	-1	-1	1	秦家寨探子	0	40002167	50	20		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	4000	0	2000	0	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010251	4	7	-1	
1030222	962	20	0	1	0	0	217	255	鞍之战	#{MIS_TAR_ADD_604}	#{Mis_shaolin_962}	#{RW_20080321_433}	#{RW_20080321_434}	2	王韶	0	2	王韶	0	30	961	-1	-1	1	秦家寨喽啰	0	40002168	20	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	1000	0	2000	-1	0		0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010400	4	0	-1	
1038000	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	20	-1	-1	-1	1		1	78	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038001	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	30	-1	-1	-1	1		1	79	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038002	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	40	-1	-1	-1	1		1	80	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038003	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	50	-1	-1	-1	1		1	81	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038004	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	60	-1	-1	-1	1		1	82	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038005	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	70	-1	-1	-1	1		1	83	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038006	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	80	-1	-1	-1	1		1	84	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038007	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_1}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_10}%i#{MIS_ITEM90526_11}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	90	-1	-1	-1	1		1	85	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038010	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_3}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_12}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	20	-1	-1	-1	1		1	70	100	5		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038011	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_3}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_12}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	30	-1	-1	-1	1		1	71	100	5		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038012	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_4}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_14}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	40	-1	-1	-1	1		1	72	100	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038013	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_4}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_14}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	50	-1	-1	-1	1		1	73	100	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038014	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_4}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_14}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	60	-1	-1	-1	1		1	74	100	10		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038015	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_5}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_15}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	70	-1	-1	-1	1		1	75	100	20		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038016	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_5}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_15}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	80	-1	-1	-1	1		1	76	100	20		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038017	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_5}#Y%i#W#{MIS_ITEM90526_2}	    #{MIS_ITEM90526_15}%i#{MIS_ITEM90526_13}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	90	-1	-1	-1	1		1	77	100	20		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038020	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_453}	#{RW_20080321_469}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	20	-1	-1	-1	1	花港毒蜂	0	40004317	100	2		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038021	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_454}	#{RW_20080321_470}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	20	-1	-1	-1	1	断桥花妖	0	40004318	100	2		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038022	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_455}	#{RW_20080321_471}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	30	-1	-1	-1	1	金钱豹	0	40004319	100	2		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038023	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_456}	#{RW_20080321_472}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	30	-1	-1	-1	1	秦家寨探子	0	40004320	100	2		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038024	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_457}	#{RW_20080321_473}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	40	-1	-1	-1	1	狼族神汉	0	40004321	100	3		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038025	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_458}	#{RW_20080321_474}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	40	-1	-1	-1	1	雪狼	0	40004322	100	3		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038026	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_459}	#{RW_20080321_475}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	50	-1	-1	-1	1	白花蜘蛛	0	40004323	100	3		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038027	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_460}	#{RW_20080321_476}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	50	-1	-1	-1	1	山越盗匪	0	40004324	100	3		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038028	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_461}	#{RW_20080321_477}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	60	-1	-1	-1	1	蒙古黑蜂	0	40004325	100	4		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038029	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_462}	#{RW_20080321_478}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	60	-1	-1	-1	1	追风马匪	0	40004326	100	4		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038030	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_463}	#{RW_20080321_479}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	70	-1	-1	-1	1	云母石人	0	40004327	100	4		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038031	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_464}	#{RW_20080321_480}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	70	-1	-1	-1	1	龙血石人	0	40004328	100	4		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038032	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_465}	#{RW_20080321_481}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	80	-1	-1	-1	1	鳄鱼帮混混	0	40004329	100	6		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038033	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_466}	#{RW_20080321_482}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	80	-1	-1	-1	1	石老人	0	40004330	100	6		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038034	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_467}	#{RW_20080321_483}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	90	-1	-1	-1	1	嗜血鳄鱼	0	40004331	100	6		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038035	101	10	0	1	0	1	106	135	木婉清任务	#{RW_20080321_468}	#{RW_20080321_484}	#{RW_20080321_451}	#{RW_20080321_452}	0		0	2	木婉清	0	90	-1	-1	-1	1	鳄鱼帮勇士	0	40004332	100	6		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038036	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_21}%i#{MIS_ITEM90526_22}	    #{MIS_ITEM90526_23}%R#{MIS_ITEM90526_24}%i#{MIS_ITEM90526_25}	#{RW_20080321_487}	#{RW_20080321_488}	0		0	2	木婉清	0	20	-1	-1	-1	1		2	6	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038037	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_21}%i#{MIS_ITEM90526_22}	    #{MIS_ITEM90526_23}%R#{MIS_ITEM90526_24}%i#{MIS_ITEM90526_25}	#{RW_20080321_487}	#{RW_20080321_488}	0		0	2	木婉清	0	20	-1	-1	-1	1		2	7	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038038	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_21}%i#{MIS_ITEM90526_22}	    #{MIS_ITEM90526_23}%R#{MIS_ITEM90526_24}%i#{MIS_ITEM90526_25}	#{RW_20080321_487}	#{RW_20080321_488}	0		0	2	木婉清	0	20	-1	-1	-1	1		2	8	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038039	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_21}%i#{MIS_ITEM90526_22}	    #{MIS_ITEM90526_23}%R#{MIS_ITEM90526_24}%i#{MIS_ITEM90526_25}	#{RW_20080321_487}	#{RW_20080321_488}	0		0	2	木婉清	0	20	-1	-1	-1	1		2	9	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1038040	101	10	0	1	0	1	106	135	木婉清任务	#{MIS_ITEM90526_21}%i#{MIS_ITEM90526_22}	    #{MIS_ITEM90526_23}%R#{MIS_ITEM90526_24}%i#{MIS_ITEM90526_25}	#{RW_20080321_487}	#{RW_20080321_488}	0		0	2	木婉清	0	20	-1	-1	-1	1		2	10	100	1		0	0	0	0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	92	1	#{MI_DEL9525_5}	2	#{MI_DEL9525_6}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
