INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	任务类型（客户端）	是否精英（客户端）	是否显示完成（客户端）	环数（客户端）	是否循环任务	完成任务的Npc的坐标(X)	完成任务的Npc的坐标(Y)	任务名称$1$	任务目标（客户端描述）$1$	任务详细描述$1$	是否有Continue	任务继续信息$1$	任务完成信息$1$	接受任务场景ID	接受任务NPC$1$	完成任务场景ID	完成任务NPC$1$	任务目标场景ID	任务目标NPC$1$	任务目标NPC是否动态	任务目标NPC对白$1$	任务需求等级	前续任务Id1	前续任务Id2	前续任务Id3	金钱奖励	交子奖励	经验奖励	关系值存储位置	关系值奖励	关系值奖励提示$1$	放弃任务关系值惩罚	关系值惩罚提示$1$	放弃任务后禁止接任务的时间存储位置	禁止的时间长度，秒	时间限制内接任务的提示$1$	固定物品奖励1	固定物品1奖励数量	固定物品奖励2	固定物品2奖励数量	固定物品奖励3	固定物品3奖励数量	固定物品奖励4	固定物品4奖励数量	固定物品奖励5	固定物品5奖励数量	可选物品奖励1	可选物品1奖励数量	可选物品奖励2	可选物品2奖励数量	可选物品奖励3	可选物品3奖励数量	可选物品奖励4	可选物品4奖励数量	可选物品奖励5	可选物品5奖励数量	隐藏奖励物品1	隐藏物品1奖励数量	隐藏奖励物品2	隐藏物品2奖励数量	隐藏奖励物品3	隐藏物品3奖励数量	送物种类数量（最多5）	第一个物品ID	第一个物品数量	物品是否在接任务时由NPC给予	第二个物品ID	第二个物品数量	物品是否在接任务时由NPC给予	第三个物品ID	第三个物品数量	物品是否在接任务时由NPC给予	第四个物品ID	第四个物品数量	物品是否在接任务时由NPC给予	MissionItem_HashTable列号	第五个物品数量	物品是否在接任务时由NPC给予	后续任务INDEX	预留	预留	预留
1010403	101	10	0	1	0	1	108	140	阿朱任务	    #{MI_DEL9525_1}#R%n#W#{MI_DEL9525_7}	    #{MI_DEL9525_8}#R%n#W#{MI_DEL9525_9}	1	#{RW_20080317_93}	#{RW_20080317_94}	0		5	阮星竹	0	205	1	90;91;92;93	30	-1	-1	-1	0	0	0	96	1	#{MI_DEL9525_10}	2	#{MI_DEL9525_11}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1010404	101	10	0	1	0	1	108	140	阿朱任务	    #{MI_DEL9525_1}#R%n#W#{MI_DEL9525_7}	    #{MI_DEL9525_8}#R%n#W#{MI_DEL9525_9}	1	#{RW_20080317_93}	#{RW_20080317_94}	0		5	阮星竹	0	206	1	90;91;92;93	40	-1	-1	-1	0	0	0	96	1	#{MI_DEL9525_10}	2	#{MI_DEL9525_11}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1010405	101	10	0	1	0	1	108	140	阿朱任务	    #{MI_DEL9525_1}#R%n#W#{MI_DEL9525_7}	    #{MI_DEL9525_8}#R%n#W#{MI_DEL9525_9}	1	#{RW_20080317_93}	#{RW_20080317_94}	0		5	阮星竹	0	207	1	90;91;92;93	50	-1	-1	-1	0	0	0	96	1	#{MI_DEL9525_10}	2	#{MI_DEL9525_11}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1010406	101	10	0	1	0	1	108	140	阿朱任务	    #{MI_DEL9525_1}#R%n#W#{MI_DEL9525_7}	    #{MI_DEL9525_8}#R%n#W#{MI_DEL9525_9}	1	#{RW_20080317_93}	#{RW_20080317_94}	0		5	阮星竹	0	208	1	90;91;92;93	60	-1	-1	-1	0	0	0	96	1	#{MI_DEL9525_10}	2	#{MI_DEL9525_11}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1010407	101	10	0	1	0	1	108	140	阿朱任务	    #{MI_DEL9525_1}#R%n#W#{MI_DEL9525_7}	    #{MI_DEL9525_8}#R%n#W#{MI_DEL9525_9}	1	#{RW_20080317_93}	#{RW_20080317_94}	0		5	阮星竹	0	209	1	90;91;92;93	70	-1	-1	-1	0	0	0	96	1	#{MI_DEL9525_10}	2	#{MI_DEL9525_11}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1010408	101	10	0	1	0	1	108	140	阿朱任务	    #{MI_DEL9525_1}#R%n#W#{MI_DEL9525_7}	    #{MI_DEL9525_8}#R%n#W#{MI_DEL9525_9}	1	#{RW_20080317_93}	#{RW_20080317_94}	0		5	阮星竹	0	210	1	90;91;92;93	80	-1	-1	-1	0	0	0	96	1	#{MI_DEL9525_10}	2	#{MI_DEL9525_11}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1010409	101	10	0	1	0	1	108	140	阿朱任务	    #{MI_DEL9525_1}#R%n#W#{MI_DEL9525_7}	    #{MI_DEL9525_8}#R%n#W#{MI_DEL9525_9}	1	#{RW_20080317_93}	#{RW_20080317_94}	0		5	阮星竹	0	211	1	90;91;92;93	90	-1	-1	-1	0	0	0	96	1	#{MI_DEL9525_10}	2	#{MI_DEL9525_11}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018000	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	49	1	6	20	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018001	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	50	1	6	30	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018002	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	51	1	6	40	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018003	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	52	1	6	50	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018004	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	53	1	6	60	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018005	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	54	1	6	70	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018006	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	55	1	6	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018007	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_01}%n#{DY_DE_02}	    #{DY_DE_15}%n#{DY_DE_16}%g#{DY_DE_17}	1	#{RW_20080317_176}	    #{DY_DE_30}%R#{DY_DE_31}	0		2	段正淳	0	56	1	6	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004349	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018008	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_03}%n#{DY_DE_04}	    #{DY_DE_18}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	57	1	7;8;9	40	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004350	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018009	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_03}%n#{DY_DE_04}	    #{DY_DE_18}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	58	1	7;8;9	50	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004350	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018010	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_03}%n#{DY_DE_04}	    #{DY_DE_18}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	59	1	7;8;9	60	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004350	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018011	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_03}%n#{DY_DE_04}	    #{DY_DE_18}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	60	1	7;8;9	70	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004350	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018012	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_03}%n#{DY_DE_04}	    #{DY_DE_18}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	61	1	7;8;9	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004350	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018013	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_03}%n#{DY_DE_04}	    #{DY_DE_18}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	62	1	7;8;9	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004350	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018014	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_05}%n#{DY_DE_04}	    #{DY_DE_20}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	63	1	10;11;12	40	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004353	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018015	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_05}%n#{DY_DE_04}	    #{DY_DE_20}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	64	1	10;11;12	50	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004353	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018016	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_05}%n#{DY_DE_04}	    #{DY_DE_20}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	65	1	10;11;12	60	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004353	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018017	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_05}%n#{DY_DE_04}	    #{DY_DE_20}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	66	1	10;11;12	70	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004353	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018018	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_05}%n#{DY_DE_04}	    #{DY_DE_20}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	67	1	10;11;12	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004353	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018019	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_05}%n#{DY_DE_04}	    #{DY_DE_20}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	68	1	10;11;12	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004353	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018020	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_06}%n#{DY_DE_04}	    #{DY_DE_21}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	69	1	13;14;15	40	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004356	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018021	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_06}%n#{DY_DE_04}	    #{DY_DE_21}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	70	1	13;14;15	50	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004356	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018022	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_06}%n#{DY_DE_04}	    #{DY_DE_21}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	71	1	13;14;15	60	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004356	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018023	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_06}%n#{DY_DE_04}	    #{DY_DE_21}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	72	1	13;14;15	70	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004356	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018024	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_06}%n#{DY_DE_04}	    #{DY_DE_21}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	73	1	13;14;15	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004356	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018025	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_06}%n#{DY_DE_04}	    #{DY_DE_21}%n#{DY_DE_19}	1	#{RW_20080317_177}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	74	1	13;14;15	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004356	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018026	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_07}	    #{DY_DE_22}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	慕容复	0	16	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018027	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_08}	    #{DY_DE_23}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	包不同	0	17	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018028	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_09}	    #{DY_DE_24}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	风波恶	0	18	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018029	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_10}	    #{DY_DE_25}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	邓百川	0	19	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018030	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_11}	    #{DY_DE_26}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	公冶乾	0	20	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018031	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_12}	    #{DY_DE_27}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	阿碧	0	21	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018032	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_13}	    #{DY_DE_28}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	王夫人	0	22	90	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018033	101	10	0	1	0	1	62	35	段誉任务	    #{DY_DE_14}	    #{DY_DE_29}	1	#{RW_20080317_176}	    #{DY_DE_32}%R#{DY_DE_33}	0		2	段正淳	0	朱丹臣	0	23	80	-1	-1	-1	0	0	0	95	1	#{DY_DE_34}	2	#{DY_DE_35}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004359	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018050	101	10	0	1	0	1	118	62	萧峰任务	    #{XF_DE_01}%n#{XF_DE_02}	    #{XF_DE_13}%n#{XF_DE_14}	1	#{RW_20080317_192}	#{RW_20080317_180}	0		0	耶律大石	0	75	1	24;25;26;27	40	-1	-1	-1	0	0	0	99	1	#{XF_DE_15}	2	#{XF_DE_16}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004388	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
1018051	101	10	0	1	0	1	118	62	萧峰任务	    #{XF_DE_01}%n#{XF_DE_02}	    #{XF_DE_13}%n#{XF_DE_14}	1	#{RW_20080317_192}	#{RW_20080317_180}	0		0	耶律大石	0	76	1	24;25;26;27	50	-1	-1	-1	0	0	0	99	1	#{XF_DE_15}	2	#{XF_DE_16}	91	900	    #{MI_KIL9525_3}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40004388	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
