INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
118	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	1	2	0	1	2	1	0	1
119	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
120	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1
121	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	2	1	1	1	0	0	2	1	1	1
122	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
123	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	2	1	1	0	1	2	1	0	1
124	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
125	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1
126	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	1	1	2	1	0	0	2	1	1	1
127	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
128	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	1	2	0	1	2	1	0	1
129	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
130	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1
131	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	2	1	1	1	0	0	2	1	1	1
132	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
133	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	2	1	1	0	1	2	1	0	1
134	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
135	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1
136	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	1	1	2	1	0	0	2	1	1	1
137	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
138	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	1	2	0	1	2	1	0	1
139	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
140	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1
141	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	2	1	1	1	0	0	2	1	1	1
142	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
143	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	2	1	1	0	1	2	1	0	1
144	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
145	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1
146	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	1	1	2	1	0	0	2	1	1	1
147	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
148	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	1	2	0	1	2	1	0	1
149	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	1	1	1	1	1	0	1	2	1	1
150	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1
